,x axis,y axis,z axis,tester,activity
213995,16,45,34,f1,Brush_teeth
213996,16,45,33,f1,Brush_teeth
213997,16,44,35,f1,Brush_teeth
213998,16,46,36,f1,Brush_teeth
213999,15,44,36,f1,Brush_teeth
214000,14,44,35,f1,Brush_teeth
214001,14,44,36,f1,Brush_teeth
214002,15,45,36,f1,Brush_teeth
214003,14,43,36,f1,Brush_teeth
214004,14,44,37,f1,Brush_teeth
214005,15,44,37,f1,Brush_teeth
214006,15,43,36,f1,Brush_teeth
214007,16,45,35,f1,Brush_teeth
214008,15,44,36,f1,Brush_teeth
214009,14,44,36,f1,Brush_teeth
214010,14,43,36,f1,Brush_teeth
214011,16,45,36,f1,Brush_teeth
214012,16,44,36,f1,Brush_teeth
214013,14,44,36,f1,Brush_teeth
214014,14,44,37,f1,Brush_teeth
214015,13,45,37,f1,Brush_teeth
214016,15,46,37,f1,Brush_teeth
214017,12,47,38,f1,Brush_teeth
214018,14,49,38,f1,Brush_teeth
214019,15,48,38,f1,Brush_teeth
214020,17,49,39,f1,Brush_teeth
214021,18,51,38,f1,Brush_teeth
214022,22,50,41,f1,Brush_teeth
214023,25,51,41,f1,Brush_teeth
214024,27,50,40,f1,Brush_teeth
214025,30,51,43,f1,Brush_teeth
214026,32,48,41,f1,Brush_teeth
214027,32,50,41,f1,Brush_teeth
214028,32,49,42,f1,Brush_teeth
214029,32,50,42,f1,Brush_teeth
214030,33,51,43,f1,Brush_teeth
214031,32,49,40,f1,Brush_teeth
214032,32,50,42,f1,Brush_teeth
214033,31,51,43,f1,Brush_teeth
214034,31,50,39,f1,Brush_teeth
214035,32,50,40,f1,Brush_teeth
214036,31,49,40,f1,Brush_teeth
214037,30,50,38,f1,Brush_teeth
214038,30,49,36,f1,Brush_teeth
214039,29,50,37,f1,Brush_teeth
214040,29,51,38,f1,Brush_teeth
214041,28,50,35,f1,Brush_teeth
214042,24,50,38,f1,Brush_teeth
214043,23,51,38,f1,Brush_teeth
214044,22,50,39,f1,Brush_teeth
214045,20,49,38,f1,Brush_teeth
214046,20,50,40,f1,Brush_teeth
214047,20,48,41,f1,Brush_teeth
214048,20,49,40,f1,Brush_teeth
214049,19,51,42,f1,Brush_teeth
214050,21,50,42,f1,Brush_teeth
214051,23,51,44,f1,Brush_teeth
214052,23,51,43,f1,Brush_teeth
214053,25,50,39,f1,Brush_teeth
214054,25,51,38,f1,Brush_teeth
214055,25,51,39,f1,Brush_teeth
214056,27,59,38,f1,Brush_teeth
214057,26,55,42,f1,Brush_teeth
214058,27,53,39,f1,Brush_teeth
214059,28,60,38,f1,Brush_teeth
214060,25,52,42,f1,Brush_teeth
214061,28,53,37,f1,Brush_teeth
214062,26,57,40,f1,Brush_teeth
214063,29,57,38,f1,Brush_teeth
214064,31,56,39,f1,Brush_teeth
214065,34,54,41,f1,Brush_teeth
214066,35,50,42,f1,Brush_teeth
214067,35,48,45,f1,Brush_teeth
214068,36,42,43,f1,Brush_teeth
214069,36,43,48,f1,Brush_teeth
214070,38,42,48,f1,Brush_teeth
214071,38,39,45,f1,Brush_teeth
214072,39,42,46,f1,Brush_teeth
214073,37,34,55,f1,Brush_teeth
214074,41,47,45,f1,Brush_teeth
214075,40,43,47,f1,Brush_teeth
214076,40,41,46,f1,Brush_teeth
214077,39,43,49,f1,Brush_teeth
214078,37,44,42,f1,Brush_teeth
214079,35,52,51,f1,Brush_teeth
214080,34,47,46,f1,Brush_teeth
214081,35,51,39,f1,Brush_teeth
214082,31,51,45,f1,Brush_teeth
214083,35,50,43,f1,Brush_teeth
214084,36,53,42,f1,Brush_teeth
214085,33,48,43,f1,Brush_teeth
214086,33,51,44,f1,Brush_teeth
214087,33,50,43,f1,Brush_teeth
214088,34,50,44,f1,Brush_teeth
214089,33,56,50,f1,Brush_teeth
214090,34,44,41,f1,Brush_teeth
214091,27,43,56,f1,Brush_teeth
214092,35,56,54,f1,Brush_teeth
214093,34,42,42,f1,Brush_teeth
214094,33,44,44,f1,Brush_teeth
214095,34,41,46,f1,Brush_teeth
214096,37,47,44,f1,Brush_teeth
214097,38,51,46,f1,Brush_teeth
214098,34,44,49,f1,Brush_teeth
214099,32,46,49,f1,Brush_teeth
214100,31,51,47,f1,Brush_teeth
214101,30,48,45,f1,Brush_teeth
214102,29,45,54,f1,Brush_teeth
214103,34,44,49,f1,Brush_teeth
214104,33,46,48,f1,Brush_teeth
214105,34,45,51,f1,Brush_teeth
214106,32,41,48,f1,Brush_teeth
214107,34,41,50,f1,Brush_teeth
214108,31,39,50,f1,Brush_teeth
214109,31,36,53,f1,Brush_teeth
214110,32,39,52,f1,Brush_teeth
214111,35,44,50,f1,Brush_teeth
214112,33,41,53,f1,Brush_teeth
214113,32,42,55,f1,Brush_teeth
214114,33,42,52,f1,Brush_teeth
214115,30,43,49,f1,Brush_teeth
214116,29,45,50,f1,Brush_teeth
214117,32,48,48,f1,Brush_teeth
214118,31,41,47,f1,Brush_teeth
214119,36,45,46,f1,Brush_teeth
214120,36,42,46,f1,Brush_teeth
214121,37,38,49,f1,Brush_teeth
214122,32,38,50,f1,Brush_teeth
214123,31,47,52,f1,Brush_teeth
214124,31,45,55,f1,Brush_teeth
214125,29,45,50,f1,Brush_teeth
214126,27,51,53,f1,Brush_teeth
214127,28,47,54,f1,Brush_teeth
214128,23,29,55,f1,Brush_teeth
214129,27,38,52,f1,Brush_teeth
214130,31,36,48,f1,Brush_teeth
214131,33,34,46,f1,Brush_teeth
214132,36,40,45,f1,Brush_teeth
214133,35,38,43,f1,Brush_teeth
214134,35,40,40,f1,Brush_teeth
214135,32,49,43,f1,Brush_teeth
214136,31,54,46,f1,Brush_teeth
214137,25,53,40,f1,Brush_teeth
214138,25,58,41,f1,Brush_teeth
214139,25,55,43,f1,Brush_teeth
214140,24,54,42,f1,Brush_teeth
214141,22,52,42,f1,Brush_teeth
214142,22,50,41,f1,Brush_teeth
214143,22,50,42,f1,Brush_teeth
214144,22,52,41,f1,Brush_teeth
214145,19,52,40,f1,Brush_teeth
214146,21,55,40,f1,Brush_teeth
214147,16,54,40,f1,Brush_teeth
214148,15,55,38,f1,Brush_teeth
214149,18,57,41,f1,Brush_teeth
214150,19,54,40,f1,Brush_teeth
214151,21,54,39,f1,Brush_teeth
214152,24,53,40,f1,Brush_teeth
214153,27,50,39,f1,Brush_teeth
214154,31,51,41,f1,Brush_teeth
214155,32,49,42,f1,Brush_teeth
214156,34,48,41,f1,Brush_teeth
214157,35,47,42,f1,Brush_teeth
214158,36,47,42,f1,Brush_teeth
214159,38,47,41,f1,Brush_teeth
214160,38,47,40,f1,Brush_teeth
214161,38,50,41,f1,Brush_teeth
214162,36,51,40,f1,Brush_teeth
214163,36,49,40,f1,Brush_teeth
214164,38,50,40,f1,Brush_teeth
214165,38,52,40,f1,Brush_teeth
214166,38,49,38,f1,Brush_teeth
214167,35,54,38,f1,Brush_teeth
214168,34,56,37,f1,Brush_teeth
214169,30,54,37,f1,Brush_teeth
214170,28,53,37,f1,Brush_teeth
214171,28,52,38,f1,Brush_teeth
214172,27,51,39,f1,Brush_teeth
214173,26,50,38,f1,Brush_teeth
214174,24,49,41,f1,Brush_teeth
214175,22,48,38,f1,Brush_teeth
214176,19,49,40,f1,Brush_teeth
