,x axis,y axis,z axis,tester,activity
311046,38,40,50,f1,Eat_meat
311047,38,40,50,f1,Eat_meat
311048,39,41,50,f1,Eat_meat
311049,39,40,49,f1,Eat_meat
311050,40,41,50,f1,Eat_meat
311051,39,41,51,f1,Eat_meat
311052,39,40,50,f1,Eat_meat
311053,39,41,50,f1,Eat_meat
311054,39,39,51,f1,Eat_meat
311055,39,39,51,f1,Eat_meat
311056,38,37,52,f1,Eat_meat
311057,39,38,52,f1,Eat_meat
311058,40,39,51,f1,Eat_meat
311059,39,38,51,f1,Eat_meat
311060,38,39,51,f1,Eat_meat
311061,39,39,52,f1,Eat_meat
311062,39,39,51,f1,Eat_meat
311063,38,39,52,f1,Eat_meat
311064,38,37,52,f1,Eat_meat
311065,38,39,51,f1,Eat_meat
311066,36,39,52,f1,Eat_meat
311067,37,40,53,f1,Eat_meat
311068,36,40,54,f1,Eat_meat
311069,37,37,53,f1,Eat_meat
311070,37,39,52,f1,Eat_meat
311071,37,37,52,f1,Eat_meat
311072,39,36,52,f1,Eat_meat
311073,39,34,51,f1,Eat_meat
311074,39,31,51,f1,Eat_meat
311075,38,33,50,f1,Eat_meat
311076,39,33,51,f1,Eat_meat
311077,40,33,51,f1,Eat_meat
311078,39,30,51,f1,Eat_meat
311079,39,31,51,f1,Eat_meat
311080,40,32,51,f1,Eat_meat
311081,39,31,52,f1,Eat_meat
311082,38,32,51,f1,Eat_meat
311083,37,31,52,f1,Eat_meat
311084,39,33,52,f1,Eat_meat
311085,37,32,52,f1,Eat_meat
311086,36,31,52,f1,Eat_meat
311087,36,29,52,f1,Eat_meat
311088,36,29,53,f1,Eat_meat
311089,36,29,53,f1,Eat_meat
311090,36,29,51,f1,Eat_meat
311091,36,28,51,f1,Eat_meat
311092,37,29,51,f1,Eat_meat
311093,37,29,52,f1,Eat_meat
311094,36,29,52,f1,Eat_meat
311095,35,28,52,f1,Eat_meat
311096,37,28,51,f1,Eat_meat
311097,36,30,52,f1,Eat_meat
311098,38,27,52,f1,Eat_meat
311099,36,29,52,f1,Eat_meat
311100,35,29,53,f1,Eat_meat
311101,36,26,53,f1,Eat_meat
311102,35,29,53,f1,Eat_meat
311103,35,27,53,f1,Eat_meat
311104,36,28,52,f1,Eat_meat
311105,35,28,53,f1,Eat_meat
311106,35,27,53,f1,Eat_meat
311107,36,28,52,f1,Eat_meat
311108,36,27,51,f1,Eat_meat
311109,38,26,50,f1,Eat_meat
311110,38,24,50,f1,Eat_meat
311111,38,23,49,f1,Eat_meat
311112,38,21,50,f1,Eat_meat
311113,38,23,50,f1,Eat_meat
311114,38,23,48,f1,Eat_meat
311115,38,24,50,f1,Eat_meat
311116,38,23,50,f1,Eat_meat
311117,38,22,49,f1,Eat_meat
311118,37,25,49,f1,Eat_meat
311119,36,23,49,f1,Eat_meat
311120,38,22,49,f1,Eat_meat
311121,35,21,48,f1,Eat_meat
311122,35,21,48,f1,Eat_meat
311123,37,19,48,f1,Eat_meat
311124,35,20,48,f1,Eat_meat
311125,36,22,49,f1,Eat_meat
311126,35,20,49,f1,Eat_meat
311127,36,20,48,f1,Eat_meat
311128,37,20,50,f1,Eat_meat
311129,35,18,48,f1,Eat_meat
311130,35,21,49,f1,Eat_meat
311131,35,20,46,f1,Eat_meat
311132,36,19,49,f1,Eat_meat
311133,35,18,48,f1,Eat_meat
311134,35,20,47,f1,Eat_meat
311135,36,19,47,f1,Eat_meat
311136,34,20,48,f1,Eat_meat
311137,35,19,47,f1,Eat_meat
311138,33,18,46,f1,Eat_meat
311139,33,19,45,f1,Eat_meat
311140,33,18,44,f1,Eat_meat
311141,33,14,45,f1,Eat_meat
311142,33,15,45,f1,Eat_meat
311143,34,16,45,f1,Eat_meat
311144,35,17,45,f1,Eat_meat
311145,35,17,46,f1,Eat_meat
311146,34,15,47,f1,Eat_meat
311147,33,16,45,f1,Eat_meat
311148,33,15,43,f1,Eat_meat
311149,34,14,41,f1,Eat_meat
311150,33,15,43,f1,Eat_meat
311151,32,16,43,f1,Eat_meat
311152,34,17,44,f1,Eat_meat
311153,33,13,44,f1,Eat_meat
311154,35,15,44,f1,Eat_meat
311155,34,15,44,f1,Eat_meat
311156,33,15,44,f1,Eat_meat
311157,33,16,43,f1,Eat_meat
