,x axis,y axis,z axis,tester,activity
103700,36,46,46,f1,Eat_soup
103701,35,48,46,f1,Eat_soup
103702,36,46,46,f1,Eat_soup
103703,36,47,47,f1,Eat_soup
103704,35,46,46,f1,Eat_soup
103705,36,46,46,f1,Eat_soup
103706,37,48,46,f1,Eat_soup
103707,35,47,47,f1,Eat_soup
103708,36,46,47,f1,Eat_soup
103709,36,47,46,f1,Eat_soup
103710,36,46,46,f1,Eat_soup
103711,36,47,46,f1,Eat_soup
103712,36,48,46,f1,Eat_soup
103713,36,47,47,f1,Eat_soup
103714,36,48,48,f1,Eat_soup
103715,34,46,47,f1,Eat_soup
103716,35,47,47,f1,Eat_soup
103717,36,47,47,f1,Eat_soup
103718,36,49,46,f1,Eat_soup
103719,36,47,48,f1,Eat_soup
103720,34,47,47,f1,Eat_soup
103721,35,47,46,f1,Eat_soup
103722,35,47,46,f1,Eat_soup
103723,35,47,46,f1,Eat_soup
103724,36,48,46,f1,Eat_soup
103725,36,47,46,f1,Eat_soup
103726,35,48,47,f1,Eat_soup
103727,35,47,46,f1,Eat_soup
103728,37,47,47,f1,Eat_soup
103729,35,47,46,f1,Eat_soup
103730,35,47,47,f1,Eat_soup
103731,35,46,47,f1,Eat_soup
103732,35,46,46,f1,Eat_soup
103733,35,46,45,f1,Eat_soup
103734,36,47,47,f1,Eat_soup
103735,35,48,47,f1,Eat_soup
103736,34,47,46,f1,Eat_soup
103737,36,47,46,f1,Eat_soup
103738,34,47,47,f1,Eat_soup
103739,36,47,46,f1,Eat_soup
103740,36,47,47,f1,Eat_soup
103741,36,48,46,f1,Eat_soup
103742,36,48,46,f1,Eat_soup
103743,36,46,47,f1,Eat_soup
103744,37,47,47,f1,Eat_soup
103745,36,46,47,f1,Eat_soup
103746,36,47,47,f1,Eat_soup
103747,36,47,47,f1,Eat_soup
103748,36,47,47,f1,Eat_soup
103749,35,47,47,f1,Eat_soup
103750,35,48,46,f1,Eat_soup
103751,34,47,46,f1,Eat_soup
103752,35,46,47,f1,Eat_soup
103753,35,48,46,f1,Eat_soup
103754,35,47,46,f1,Eat_soup
103755,37,46,47,f1,Eat_soup
103756,36,46,47,f1,Eat_soup
103757,36,48,47,f1,Eat_soup
103758,35,49,47,f1,Eat_soup
103759,35,48,47,f1,Eat_soup
103760,35,47,47,f1,Eat_soup
103761,36,47,46,f1,Eat_soup
103762,35,46,46,f1,Eat_soup
103763,36,48,47,f1,Eat_soup
103764,38,46,47,f1,Eat_soup
103765,36,47,46,f1,Eat_soup
103766,36,46,48,f1,Eat_soup
103767,36,48,47,f1,Eat_soup
103768,35,46,47,f1,Eat_soup
103769,35,47,46,f1,Eat_soup
103770,35,48,47,f1,Eat_soup
103771,36,46,47,f1,Eat_soup
103772,36,46,48,f1,Eat_soup
103773,36,45,46,f1,Eat_soup
103774,36,47,47,f1,Eat_soup
103775,35,46,46,f1,Eat_soup
103776,35,47,47,f1,Eat_soup
103777,37,48,49,f1,Eat_soup
