,x axis,y axis,z axis,tester,activity
410708,31,39,51,f1,Pour_water
410709,51,41,33,f1,Pour_water
410710,31,39,51,f1,Pour_water
410711,31,40,51,f1,Pour_water
410712,30,40,52,f1,Pour_water
410713,31,40,52,f1,Pour_water
410714,32,39,52,f1,Pour_water
410715,31,39,51,f1,Pour_water
410716,32,38,52,f1,Pour_water
410717,31,39,52,f1,Pour_water
410718,31,39,52,f1,Pour_water
410719,32,39,52,f1,Pour_water
410720,31,38,52,f1,Pour_water
410721,32,39,51,f1,Pour_water
410722,31,39,51,f1,Pour_water
410723,31,39,51,f1,Pour_water
410724,31,40,51,f1,Pour_water
410725,30,39,51,f1,Pour_water
410726,32,40,51,f1,Pour_water
410727,31,40,51,f1,Pour_water
410728,31,39,52,f1,Pour_water
410729,31,40,52,f1,Pour_water
410730,32,39,52,f1,Pour_water
410731,32,39,51,f1,Pour_water
410732,32,38,52,f1,Pour_water
410733,31,38,52,f1,Pour_water
410734,31,41,51,f1,Pour_water
410735,30,39,51,f1,Pour_water
410736,30,38,53,f1,Pour_water
410737,31,37,52,f1,Pour_water
410738,32,38,50,f1,Pour_water
410739,32,39,51,f1,Pour_water
410740,31,40,52,f1,Pour_water
410741,30,39,52,f1,Pour_water
410742,30,40,52,f1,Pour_water
410743,31,38,53,f1,Pour_water
410744,30,38,53,f1,Pour_water
410745,31,38,52,f1,Pour_water
410746,32,38,52,f1,Pour_water
410747,32,38,52,f1,Pour_water
410748,31,39,52,f1,Pour_water
410749,32,40,52,f1,Pour_water
410750,31,38,51,f1,Pour_water
410751,30,38,52,f1,Pour_water
410752,31,39,52,f1,Pour_water
410753,30,39,53,f1,Pour_water
410754,31,38,52,f1,Pour_water
410755,30,37,51,f1,Pour_water
410756,31,40,52,f1,Pour_water
410757,33,38,52,f1,Pour_water
410758,32,38,52,f1,Pour_water
410759,31,38,52,f1,Pour_water
410760,31,38,52,f1,Pour_water
410761,31,40,52,f1,Pour_water
410762,31,39,52,f1,Pour_water
410763,32,39,52,f1,Pour_water
410764,31,39,53,f1,Pour_water
410765,32,40,54,f1,Pour_water
410766,34,39,54,f1,Pour_water
410767,34,39,55,f1,Pour_water
410768,35,39,54,f1,Pour_water
410769,37,41,54,f1,Pour_water
410770,34,40,55,f1,Pour_water
410771,36,41,55,f1,Pour_water
410772,36,40,55,f1,Pour_water
410773,36,41,54,f1,Pour_water
410774,35,40,54,f1,Pour_water
410775,36,39,54,f1,Pour_water
410776,36,39,53,f1,Pour_water
410777,35,38,53,f1,Pour_water
410778,35,37,52,f1,Pour_water
410779,34,35,50,f1,Pour_water
410780,33,36,50,f1,Pour_water
410781,33,37,49,f1,Pour_water
410782,31,36,49,f1,Pour_water
410783,31,39,50,f1,Pour_water
410784,32,39,50,f1,Pour_water
410785,32,40,49,f1,Pour_water
410786,30,42,51,f1,Pour_water
410787,30,43,48,f1,Pour_water
410788,32,43,48,f1,Pour_water
410789,30,45,48,f1,Pour_water
410790,31,44,47,f1,Pour_water
410791,32,46,48,f1,Pour_water
410792,32,45,50,f1,Pour_water
410793,32,45,46,f1,Pour_water
410794,34,47,46,f1,Pour_water
410795,34,48,48,f1,Pour_water
410796,34,50,46,f1,Pour_water
410797,33,48,46,f1,Pour_water
410798,33,50,47,f1,Pour_water
410799,33,49,48,f1,Pour_water
410800,36,51,45,f1,Pour_water
410801,36,50,41,f1,Pour_water
410802,33,50,43,f1,Pour_water
410803,32,48,46,f1,Pour_water
410804,32,46,47,f1,Pour_water
410805,33,51,45,f1,Pour_water
410806,32,51,45,f1,Pour_water
410807,33,50,46,f1,Pour_water
410808,33,50,47,f1,Pour_water
410809,35,50,46,f1,Pour_water
410810,35,50,45,f1,Pour_water
410811,35,49,45,f1,Pour_water
410812,35,48,44,f1,Pour_water
410813,35,49,44,f1,Pour_water
410814,35,50,45,f1,Pour_water
410815,35,50,43,f1,Pour_water
410816,36,50,45,f1,Pour_water
410817,37,50,45,f1,Pour_water
410818,36,49,45,f1,Pour_water
410819,37,49,45,f1,Pour_water
410820,37,49,45,f1,Pour_water
410821,39,48,45,f1,Pour_water
410822,38,46,45,f1,Pour_water
410823,36,47,46,f1,Pour_water
410824,38,46,47,f1,Pour_water
410825,37,46,48,f1,Pour_water
410826,37,44,48,f1,Pour_water
410827,36,45,48,f1,Pour_water
410828,38,46,48,f1,Pour_water
410829,36,44,48,f1,Pour_water
410830,35,41,50,f1,Pour_water
410831,34,43,47,f1,Pour_water
410832,34,42,48,f1,Pour_water
410833,33,41,49,f1,Pour_water
410834,30,39,50,f1,Pour_water
410835,30,41,49,f1,Pour_water
410836,30,41,50,f1,Pour_water
410837,29,38,51,f1,Pour_water
410838,30,39,51,f1,Pour_water
410839,27,39,52,f1,Pour_water
410840,27,37,51,f1,Pour_water
410841,26,37,51,f1,Pour_water
410842,27,36,52,f1,Pour_water
410843,26,35,51,f1,Pour_water
410844,25,35,50,f1,Pour_water
410845,24,35,50,f1,Pour_water
410846,25,33,50,f1,Pour_water
410847,24,34,50,f1,Pour_water
410848,24,32,52,f1,Pour_water
410849,25,33,51,f1,Pour_water
410850,24,33,52,f1,Pour_water
410851,23,33,51,f1,Pour_water
410852,24,33,51,f1,Pour_water
410853,24,33,52,f1,Pour_water
410854,24,32,51,f1,Pour_water
410855,24,32,52,f1,Pour_water
410856,21,32,51,f1,Pour_water
410857,23,32,51,f1,Pour_water
410858,22,31,51,f1,Pour_water
410859,22,32,51,f1,Pour_water
410860,23,31,51,f1,Pour_water
410861,23,30,51,f1,Pour_water
410862,23,32,51,f1,Pour_water
410863,23,30,51,f1,Pour_water
410864,22,29,51,f1,Pour_water
410865,22,29,50,f1,Pour_water
410866,23,30,50,f1,Pour_water
410867,23,30,50,f1,Pour_water
410868,23,30,50,f1,Pour_water
410869,23,29,50,f1,Pour_water
410870,22,28,50,f1,Pour_water
410871,20,27,49,f1,Pour_water
410872,22,30,49,f1,Pour_water
410873,23,29,50,f1,Pour_water
410874,22,29,49,f1,Pour_water
410875,21,27,49,f1,Pour_water
410876,22,27,51,f1,Pour_water
410877,20,26,47,f1,Pour_water
410878,22,26,49,f1,Pour_water
410879,22,26,48,f1,Pour_water
410880,20,25,49,f1,Pour_water
410881,23,28,49,f1,Pour_water
410882,22,26,49,f1,Pour_water
410883,22,25,49,f1,Pour_water
410884,21,24,47,f1,Pour_water
410885,22,26,49,f1,Pour_water
410886,23,25,48,f1,Pour_water
410887,22,25,49,f1,Pour_water
410888,22,25,48,f1,Pour_water
410889,22,24,47,f1,Pour_water
410890,21,25,49,f1,Pour_water
410891,22,26,47,f1,Pour_water
410892,21,25,47,f1,Pour_water
410893,21,25,47,f1,Pour_water
410894,23,26,48,f1,Pour_water
410895,22,25,47,f1,Pour_water
410896,21,25,49,f1,Pour_water
410897,22,24,49,f1,Pour_water
410898,21,25,48,f1,Pour_water
410899,22,23,48,f1,Pour_water
410900,21,26,47,f1,Pour_water
410901,22,25,49,f1,Pour_water
410902,21,25,48,f1,Pour_water
410903,23,23,47,f1,Pour_water
410904,22,25,48,f1,Pour_water
410905,22,23,48,f1,Pour_water
410906,22,22,48,f1,Pour_water
410907,21,24,48,f1,Pour_water
410908,22,24,47,f1,Pour_water
410909,22,23,47,f1,Pour_water
410910,22,23,47,f1,Pour_water
410911,22,22,47,f1,Pour_water
410912,22,24,47,f1,Pour_water
410913,21,23,47,f1,Pour_water
410914,21,23,47,f1,Pour_water
410915,22,24,47,f1,Pour_water
410916,22,24,47,f1,Pour_water
410917,22,24,48,f1,Pour_water
410918,22,25,48,f1,Pour_water
410919,22,23,47,f1,Pour_water
410920,22,23,48,f1,Pour_water
410921,21,23,47,f1,Pour_water
410922,22,24,47,f1,Pour_water
410923,22,23,47,f1,Pour_water
410924,21,23,47,f1,Pour_water
410925,21,24,47,f1,Pour_water
410926,21,24,47,f1,Pour_water
410927,22,24,47,f1,Pour_water
410928,21,23,47,f1,Pour_water
410929,21,24,47,f1,Pour_water
410930,22,23,47,f1,Pour_water
410931,22,23,47,f1,Pour_water
410932,21,23,47,f1,Pour_water
410933,22,23,47,f1,Pour_water
410934,21,23,47,f1,Pour_water
410935,21,23,47,f1,Pour_water
410936,21,23,46,f1,Pour_water
410937,22,24,46,f1,Pour_water
410938,22,23,47,f1,Pour_water
410939,21,23,47,f1,Pour_water
410940,21,23,46,f1,Pour_water
410941,21,23,47,f1,Pour_water
410942,22,24,46,f1,Pour_water
410943,21,22,47,f1,Pour_water
410944,21,24,47,f1,Pour_water
410945,21,22,47,f1,Pour_water
410946,22,22,47,f1,Pour_water
410947,21,23,46,f1,Pour_water
410948,21,24,48,f1,Pour_water
410949,21,24,46,f1,Pour_water
410950,22,23,47,f1,Pour_water
410951,21,23,47,f1,Pour_water
410952,20,23,47,f1,Pour_water
410953,20,23,47,f1,Pour_water
410954,21,24,48,f1,Pour_water
410955,20,25,47,f1,Pour_water
410956,21,23,46,f1,Pour_water
410957,22,23,46,f1,Pour_water
410958,21,23,47,f1,Pour_water
410959,20,22,47,f1,Pour_water
410960,21,23,47,f1,Pour_water
410961,22,23,47,f1,Pour_water
410962,21,23,47,f1,Pour_water
410963,22,23,47,f1,Pour_water
410964,22,23,47,f1,Pour_water
410965,21,24,47,f1,Pour_water
410966,22,23,46,f1,Pour_water
410967,21,23,47,f1,Pour_water
410968,20,21,47,f1,Pour_water
410969,20,23,46,f1,Pour_water
410970,22,23,47,f1,Pour_water
410971,22,23,48,f1,Pour_water
410972,21,23,46,f1,Pour_water
410973,22,23,48,f1,Pour_water
410974,21,23,47,f1,Pour_water
410975,21,22,47,f1,Pour_water
410976,22,23,46,f1,Pour_water
410977,22,23,48,f1,Pour_water
410978,22,23,46,f1,Pour_water
410979,21,23,46,f1,Pour_water
410980,20,23,46,f1,Pour_water
410981,22,22,46,f1,Pour_water
410982,20,24,46,f1,Pour_water
410983,22,22,48,f1,Pour_water
410984,22,23,47,f1,Pour_water
410985,21,24,47,f1,Pour_water
410986,21,24,47,f1,Pour_water
410987,21,24,46,f1,Pour_water
410988,22,23,46,f1,Pour_water
410989,21,22,47,f1,Pour_water
410990,21,23,46,f1,Pour_water
410991,21,23,45,f1,Pour_water
410992,21,23,46,f1,Pour_water
410993,21,23,46,f1,Pour_water
410994,21,23,47,f1,Pour_water
410995,22,23,47,f1,Pour_water
410996,20,24,47,f1,Pour_water
410997,22,25,47,f1,Pour_water
410998,23,25,48,f1,Pour_water
410999,23,25,49,f1,Pour_water
411000,22,27,50,f1,Pour_water
411001,22,27,49,f1,Pour_water
411002,23,25,50,f1,Pour_water
411003,24,29,50,f1,Pour_water
411004,23,30,50,f1,Pour_water
411005,24,28,51,f1,Pour_water
411006,25,31,52,f1,Pour_water
411007,24,28,51,f1,Pour_water
411008,25,30,50,f1,Pour_water
411009,24,32,50,f1,Pour_water
411010,25,30,51,f1,Pour_water
411011,26,31,50,f1,Pour_water
411012,25,33,53,f1,Pour_water
411013,26,32,52,f1,Pour_water
411014,27,34,52,f1,Pour_water
411015,28,35,55,f1,Pour_water
411016,28,36,53,f1,Pour_water
411017,29,36,53,f1,Pour_water
411018,29,37,53,f1,Pour_water
411019,29,39,52,f1,Pour_water
411020,31,41,51,f1,Pour_water
411021,32,41,52,f1,Pour_water
411022,33,40,50,f1,Pour_water
411023,34,42,50,f1,Pour_water
411024,35,41,51,f1,Pour_water
411025,36,41,50,f1,Pour_water
411026,34,42,50,f1,Pour_water
411027,35,42,50,f1,Pour_water
411028,35,41,49,f1,Pour_water
411029,35,42,50,f1,Pour_water
411030,36,43,47,f1,Pour_water
411031,35,44,49,f1,Pour_water
411032,37,45,47,f1,Pour_water
411033,35,44,48,f1,Pour_water
411034,36,45,47,f1,Pour_water
411035,35,48,47,f1,Pour_water
411036,36,47,48,f1,Pour_water
411037,35,46,47,f1,Pour_water
411038,34,49,47,f1,Pour_water
411039,35,47,48,f1,Pour_water
411040,35,47,48,f1,Pour_water
411041,34,47,47,f1,Pour_water
411042,34,47,46,f1,Pour_water
411043,34,46,46,f1,Pour_water
411044,33,43,45,f1,Pour_water
411045,35,47,46,f1,Pour_water
411046,36,47,47,f1,Pour_water
411047,36,48,44,f1,Pour_water
