,x axis,y axis,z axis,tester,activity
173595,33,36,52,f1,Use_telephone
173596,33,36,52,f1,Use_telephone
173597,33,38,51,f1,Use_telephone
173598,33,38,53,f1,Use_telephone
173599,32,37,52,f1,Use_telephone
173600,32,39,52,f1,Use_telephone
173601,33,37,52,f1,Use_telephone
173602,34,38,52,f1,Use_telephone
173603,33,37,53,f1,Use_telephone
173604,32,39,52,f1,Use_telephone
173605,33,37,52,f1,Use_telephone
173606,32,37,53,f1,Use_telephone
173607,32,37,52,f1,Use_telephone
173608,33,39,51,f1,Use_telephone
173609,32,37,52,f1,Use_telephone
173610,33,37,51,f1,Use_telephone
173611,32,38,53,f1,Use_telephone
173612,33,38,52,f1,Use_telephone
173613,34,38,52,f1,Use_telephone
173614,32,37,51,f1,Use_telephone
173615,32,38,52,f1,Use_telephone
173616,32,39,51,f1,Use_telephone
173617,33,38,52,f1,Use_telephone
173618,33,37,52,f1,Use_telephone
173619,34,37,52,f1,Use_telephone
173620,32,38,52,f1,Use_telephone
173621,33,38,53,f1,Use_telephone
173622,32,38,54,f1,Use_telephone
173623,33,37,53,f1,Use_telephone
173624,33,35,54,f1,Use_telephone
173625,32,36,54,f1,Use_telephone
173626,32,37,56,f1,Use_telephone
173627,31,37,56,f1,Use_telephone
173628,32,35,58,f1,Use_telephone
173629,35,33,58,f1,Use_telephone
173630,36,33,55,f1,Use_telephone
173631,38,32,56,f1,Use_telephone
173632,40,32,54,f1,Use_telephone
173633,40,32,50,f1,Use_telephone
173634,39,33,48,f1,Use_telephone
173635,38,36,47,f1,Use_telephone
173636,37,36,45,f1,Use_telephone
173637,34,40,46,f1,Use_telephone
173638,30,40,45,f1,Use_telephone
173639,29,42,45,f1,Use_telephone
173640,28,40,47,f1,Use_telephone
173641,26,41,48,f1,Use_telephone
173642,25,40,49,f1,Use_telephone
173643,26,42,51,f1,Use_telephone
173644,27,44,50,f1,Use_telephone
173645,29,40,51,f1,Use_telephone
173646,28,40,52,f1,Use_telephone
173647,28,42,54,f1,Use_telephone
173648,27,38,51,f1,Use_telephone
173649,28,39,51,f1,Use_telephone
173650,28,39,51,f1,Use_telephone
173651,29,41,51,f1,Use_telephone
173652,28,41,52,f1,Use_telephone
173653,28,41,52,f1,Use_telephone
173654,27,40,52,f1,Use_telephone
173655,28,40,53,f1,Use_telephone
173656,28,40,51,f1,Use_telephone
173657,28,38,52,f1,Use_telephone
173658,27,40,51,f1,Use_telephone
173659,28,40,51,f1,Use_telephone
173660,27,41,52,f1,Use_telephone
173661,27,41,53,f1,Use_telephone
173662,26,42,54,f1,Use_telephone
173663,26,45,52,f1,Use_telephone
173664,27,43,53,f1,Use_telephone
173665,26,47,49,f1,Use_telephone
173666,24,52,46,f1,Use_telephone
173667,28,45,46,f1,Use_telephone
173668,28,49,47,f1,Use_telephone
173669,29,50,47,f1,Use_telephone
173670,31,49,44,f1,Use_telephone
173671,32,51,44,f1,Use_telephone
173672,33,50,44,f1,Use_telephone
173673,37,48,44,f1,Use_telephone
173674,39,47,44,f1,Use_telephone
173675,40,44,43,f1,Use_telephone
173676,44,42,40,f1,Use_telephone
173677,43,44,39,f1,Use_telephone
173678,46,39,37,f1,Use_telephone
173679,48,35,36,f1,Use_telephone
173680,50,35,36,f1,Use_telephone
173681,49,34,36,f1,Use_telephone
173682,49,33,39,f1,Use_telephone
173683,48,34,44,f1,Use_telephone
173684,46,30,46,f1,Use_telephone
173685,47,28,47,f1,Use_telephone
173686,45,27,50,f1,Use_telephone
173687,44,27,51,f1,Use_telephone
173688,43,22,54,f1,Use_telephone
173689,43,17,58,f1,Use_telephone
173690,43,12,55,f1,Use_telephone
173691,42,15,55,f1,Use_telephone
173692,43,20,51,f1,Use_telephone
173693,43,26,50,f1,Use_telephone
173694,43,35,48,f1,Use_telephone
173695,41,38,52,f1,Use_telephone
173696,41,21,51,f1,Use_telephone
173697,38,35,52,f1,Use_telephone
173698,40,32,53,f1,Use_telephone
173699,40,25,53,f1,Use_telephone
173700,42,27,51,f1,Use_telephone
173701,43,27,51,f1,Use_telephone
173702,43,31,48,f1,Use_telephone
173703,44,33,45,f1,Use_telephone
173704,40,38,46,f1,Use_telephone
173705,39,40,51,f1,Use_telephone
173706,39,39,49,f1,Use_telephone
173707,37,33,48,f1,Use_telephone
173708,34,35,55,f1,Use_telephone
173709,33,33,56,f1,Use_telephone
173710,30,36,58,f1,Use_telephone
173711,27,32,55,f1,Use_telephone
173712,29,36,57,f1,Use_telephone
173713,36,32,61,f1,Use_telephone
173714,42,28,62,f1,Use_telephone
173715,45,26,56,f1,Use_telephone
173716,46,26,53,f1,Use_telephone
173717,46,27,50,f1,Use_telephone
173718,43,31,49,f1,Use_telephone
173719,39,32,47,f1,Use_telephone
173720,38,31,46,f1,Use_telephone
173721,34,31,47,f1,Use_telephone
173722,31,34,48,f1,Use_telephone
173723,27,32,51,f1,Use_telephone
173724,24,31,51,f1,Use_telephone
173725,23,32,51,f1,Use_telephone
173726,23,35,52,f1,Use_telephone
173727,25,36,54,f1,Use_telephone
173728,28,33,54,f1,Use_telephone
173729,29,35,53,f1,Use_telephone
173730,27,36,53,f1,Use_telephone
173731,30,35,54,f1,Use_telephone
173732,31,35,53,f1,Use_telephone
173733,30,37,52,f1,Use_telephone
173734,31,35,54,f1,Use_telephone
173735,30,36,53,f1,Use_telephone
173736,30,35,53,f1,Use_telephone
173737,32,34,53,f1,Use_telephone
173738,31,33,53,f1,Use_telephone
173739,30,34,55,f1,Use_telephone
173740,30,35,54,f1,Use_telephone
173741,30,33,52,f1,Use_telephone
173742,29,35,51,f1,Use_telephone
173743,31,34,51,f1,Use_telephone
173744,30,33,53,f1,Use_telephone
173745,30,33,53,f1,Use_telephone
173746,31,33,52,f1,Use_telephone
173747,31,33,51,f1,Use_telephone
173748,31,33,51,f1,Use_telephone
173749,31,35,54,f1,Use_telephone
173750,30,34,57,f1,Use_telephone
173751,30,33,56,f1,Use_telephone
173752,30,33,51,f1,Use_telephone
173753,30,32,50,f1,Use_telephone
173754,29,32,52,f1,Use_telephone
173755,30,33,53,f1,Use_telephone
173756,31,33,52,f1,Use_telephone
173757,31,32,53,f1,Use_telephone
173758,31,35,52,f1,Use_telephone
173759,31,31,53,f1,Use_telephone
173760,31,31,52,f1,Use_telephone
173761,30,32,52,f1,Use_telephone
173762,30,32,52,f1,Use_telephone
173763,31,30,53,f1,Use_telephone
173764,30,32,52,f1,Use_telephone
173765,30,31,53,f1,Use_telephone
173766,29,32,53,f1,Use_telephone
173767,30,32,53,f1,Use_telephone
173768,30,31,52,f1,Use_telephone
173769,30,32,52,f1,Use_telephone
173770,31,36,52,f1,Use_telephone
173771,30,28,56,f1,Use_telephone
173772,30,26,57,f1,Use_telephone
173773,31,29,51,f1,Use_telephone
173774,31,28,50,f1,Use_telephone
173775,31,29,52,f1,Use_telephone
173776,31,31,51,f1,Use_telephone
173777,32,33,51,f1,Use_telephone
173778,32,32,53,f1,Use_telephone
173779,31,33,52,f1,Use_telephone
173780,29,33,52,f1,Use_telephone
173781,31,31,53,f1,Use_telephone
173782,29,32,52,f1,Use_telephone
173783,31,33,52,f1,Use_telephone
173784,30,32,53,f1,Use_telephone
173785,30,33,52,f1,Use_telephone
173786,30,32,53,f1,Use_telephone
173787,29,33,53,f1,Use_telephone
173788,31,33,52,f1,Use_telephone
173789,30,34,53,f1,Use_telephone
173790,32,34,53,f1,Use_telephone
173791,32,32,53,f1,Use_telephone
173792,32,33,53,f1,Use_telephone
173793,33,32,54,f1,Use_telephone
173794,32,30,52,f1,Use_telephone
173795,30,32,52,f1,Use_telephone
173796,30,33,52,f1,Use_telephone
173797,31,33,53,f1,Use_telephone
173798,31,33,53,f1,Use_telephone
173799,30,32,52,f1,Use_telephone
173800,30,32,52,f1,Use_telephone
173801,32,33,53,f1,Use_telephone
173802,32,33,53,f1,Use_telephone
173803,31,31,53,f1,Use_telephone
173804,29,31,55,f1,Use_telephone
173805,30,31,56,f1,Use_telephone
173806,30,33,55,f1,Use_telephone
173807,30,35,50,f1,Use_telephone
173808,28,34,51,f1,Use_telephone
173809,30,32,53,f1,Use_telephone
173810,31,33,52,f1,Use_telephone
173811,31,31,51,f1,Use_telephone
173812,31,32,51,f1,Use_telephone
173813,30,31,50,f1,Use_telephone
173814,31,32,51,f1,Use_telephone
173815,30,31,52,f1,Use_telephone
173816,28,33,50,f1,Use_telephone
173817,28,33,54,f1,Use_telephone
173818,29,32,55,f1,Use_telephone
173819,29,27,57,f1,Use_telephone
173820,29,27,53,f1,Use_telephone
173821,30,26,51,f1,Use_telephone
173822,30,30,51,f1,Use_telephone
173823,30,26,52,f1,Use_telephone
173824,30,30,51,f1,Use_telephone
173825,30,30,49,f1,Use_telephone
173826,29,32,49,f1,Use_telephone
173827,29,30,53,f1,Use_telephone
173828,29,31,56,f1,Use_telephone
173829,29,26,57,f1,Use_telephone
173830,30,24,54,f1,Use_telephone
173831,28,25,49,f1,Use_telephone
173832,28,28,46,f1,Use_telephone
173833,28,26,51,f1,Use_telephone
173834,30,29,51,f1,Use_telephone
