,x axis,y axis,z axis,tester,activity
254284,13,38,36,f2,Climb_stairs
254285,13,38,36,f2,Climb_stairs
254286,13,39,36,f2,Climb_stairs
254287,13,39,36,f2,Climb_stairs
254288,13,39,36,f2,Climb_stairs
254289,14,39,36,f2,Climb_stairs
254290,14,39,36,f2,Climb_stairs
254291,13,40,37,f2,Climb_stairs
254292,13,39,36,f2,Climb_stairs
254293,13,40,36,f2,Climb_stairs
254294,14,40,37,f2,Climb_stairs
254295,15,40,37,f2,Climb_stairs
254296,13,39,37,f2,Climb_stairs
254297,13,39,37,f2,Climb_stairs
254298,14,41,38,f2,Climb_stairs
254299,13,39,37,f2,Climb_stairs
254300,14,40,37,f2,Climb_stairs
254301,14,41,37,f2,Climb_stairs
254302,13,41,38,f2,Climb_stairs
254303,14,41,37,f2,Climb_stairs
254304,14,39,36,f2,Climb_stairs
254305,13,40,36,f2,Climb_stairs
254306,13,40,37,f2,Climb_stairs
254307,14,39,36,f2,Climb_stairs
254308,16,39,36,f2,Climb_stairs
254309,20,39,35,f2,Climb_stairs
254310,15,41,35,f2,Climb_stairs
254311,8,43,35,f2,Climb_stairs
254312,7,43,36,f2,Climb_stairs
254313,12,41,34,f2,Climb_stairs
254314,12,41,36,f2,Climb_stairs
254315,15,42,36,f2,Climb_stairs
254316,16,42,35,f2,Climb_stairs
254317,13,39,36,f2,Climb_stairs
254318,12,39,34,f2,Climb_stairs
254319,13,39,34,f2,Climb_stairs
254320,13,40,35,f2,Climb_stairs
254321,14,38,35,f2,Climb_stairs
254322,13,39,35,f2,Climb_stairs
254323,15,39,35,f2,Climb_stairs
254324,14,40,36,f2,Climb_stairs
254325,14,40,35,f2,Climb_stairs
254326,11,40,36,f2,Climb_stairs
254327,9,40,36,f2,Climb_stairs
254328,5,37,35,f2,Climb_stairs
254329,0,41,35,f2,Climb_stairs
254330,0,41,31,f2,Climb_stairs
254331,3,40,33,f2,Climb_stairs
254332,10,34,30,f2,Climb_stairs
254333,13,31,30,f2,Climb_stairs
254334,14,31,30,f2,Climb_stairs
254335,15,33,31,f2,Climb_stairs
254336,15,32,31,f2,Climb_stairs
254337,14,32,31,f2,Climb_stairs
254338,16,33,32,f2,Climb_stairs
254339,16,33,33,f2,Climb_stairs
254340,16,32,33,f2,Climb_stairs
254341,17,33,33,f2,Climb_stairs
254342,14,33,34,f2,Climb_stairs
254343,15,34,34,f2,Climb_stairs
254344,15,35,35,f2,Climb_stairs
254345,15,37,34,f2,Climb_stairs
254346,13,36,35,f2,Climb_stairs
254347,12,37,35,f2,Climb_stairs
254348,12,37,37,f2,Climb_stairs
254349,11,37,36,f2,Climb_stairs
254350,9,36,37,f2,Climb_stairs
254351,8,36,36,f2,Climb_stairs
254352,5,39,35,f2,Climb_stairs
254353,2,37,34,f2,Climb_stairs
254354,8,36,35,f2,Climb_stairs
254355,13,34,34,f2,Climb_stairs
254356,14,35,33,f2,Climb_stairs
254357,13,34,33,f2,Climb_stairs
254358,14,35,33,f2,Climb_stairs
254359,13,36,32,f2,Climb_stairs
254360,14,36,33,f2,Climb_stairs
254361,16,37,32,f2,Climb_stairs
254362,14,36,33,f2,Climb_stairs
254363,17,36,32,f2,Climb_stairs
