,x axis,y axis,z axis,tester,activity
19602,14,40,40,f2,Walk
19603,14,40,40,f2,Walk
19604,14,40,40,f2,Walk
19605,15,40,41,f2,Walk
19606,13,39,41,f2,Walk
19607,14,39,41,f2,Walk
19608,14,39,41,f2,Walk
19609,16,39,41,f2,Walk
19610,15,39,40,f2,Walk
19611,15,39,41,f2,Walk
19612,15,39,40,f2,Walk
19613,15,38,41,f2,Walk
19614,15,39,41,f2,Walk
19615,14,38,41,f2,Walk
19616,14,40,41,f2,Walk
19617,14,40,40,f2,Walk
19618,15,38,41,f2,Walk
19619,15,39,40,f2,Walk
19620,14,39,41,f2,Walk
19621,15,38,41,f2,Walk
19622,14,39,40,f2,Walk
19623,15,39,41,f2,Walk
19624,15,39,40,f2,Walk
19625,14,39,41,f2,Walk
19626,15,39,41,f2,Walk
19627,15,39,40,f2,Walk
19628,14,38,41,f2,Walk
19629,15,38,41,f2,Walk
19630,15,39,42,f2,Walk
19631,15,40,41,f2,Walk
19632,15,40,42,f2,Walk
19633,14,39,42,f2,Walk
19634,15,40,42,f2,Walk
19635,15,40,43,f2,Walk
19636,16,41,42,f2,Walk
19637,15,40,44,f2,Walk
19638,14,40,42,f2,Walk
19639,15,41,44,f2,Walk
19640,16,42,44,f2,Walk
19641,16,41,45,f2,Walk
19642,17,39,44,f2,Walk
19643,18,40,46,f2,Walk
19644,19,38,45,f2,Walk
19645,18,40,46,f2,Walk
19646,19,39,45,f2,Walk
19647,21,41,46,f2,Walk
19648,19,40,46,f2,Walk
19649,21,42,48,f2,Walk
19650,20,42,47,f2,Walk
19651,22,41,47,f2,Walk
19652,22,44,48,f2,Walk
19653,23,43,48,f2,Walk
19654,23,43,47,f2,Walk
19655,23,44,47,f2,Walk
19656,24,43,47,f2,Walk
19657,25,42,47,f2,Walk
19658,24,42,47,f2,Walk
19659,23,44,49,f2,Walk
19660,25,44,49,f2,Walk
19661,25,44,50,f2,Walk
19662,27,44,51,f2,Walk
19663,28,45,50,f2,Walk
19664,30,44,49,f2,Walk
19665,30,44,49,f2,Walk
19666,32,44,49,f2,Walk
19667,31,45,48,f2,Walk
19668,31,45,47,f2,Walk
19669,32,44,48,f2,Walk
19670,32,44,47,f2,Walk
19671,33,42,48,f2,Walk
19672,33,40,48,f2,Walk
19673,33,42,48,f2,Walk
19674,31,45,49,f2,Walk
19675,31,43,49,f2,Walk
19676,31,41,50,f2,Walk
19677,33,40,51,f2,Walk
19678,32,40,51,f2,Walk
19679,32,43,51,f2,Walk
19680,33,39,50,f2,Walk
19681,33,40,50,f2,Walk
19682,34,39,50,f2,Walk
19683,34,40,51,f2,Walk
19684,34,40,51,f2,Walk
19685,34,40,52,f2,Walk
19686,37,40,52,f2,Walk
19687,35,41,51,f2,Walk
19688,35,40,52,f2,Walk
19689,34,39,51,f2,Walk
19690,34,39,52,f2,Walk
19691,34,40,51,f2,Walk
19692,35,41,51,f2,Walk
19693,34,44,51,f2,Walk
19694,33,43,50,f2,Walk
19695,34,43,50,f2,Walk
19696,35,42,50,f2,Walk
19697,35,43,50,f2,Walk
19698,35,44,50,f2,Walk
19699,35,44,50,f2,Walk
19700,36,45,49,f2,Walk
19701,33,44,48,f2,Walk
19702,33,45,49,f2,Walk
19703,32,45,48,f2,Walk
