,x axis,y axis,z axis,tester,activity
343221,32,37,33,f4,Comb_hair
343222,32,37,52,f4,Comb_hair
343223,33,37,52,f4,Comb_hair
343224,32,39,53,f4,Comb_hair
343225,32,38,52,f4,Comb_hair
343226,32,37,52,f4,Comb_hair
343227,33,38,52,f4,Comb_hair
343228,32,38,52,f4,Comb_hair
343229,32,38,52,f4,Comb_hair
343230,33,37,53,f4,Comb_hair
343231,33,38,53,f4,Comb_hair
343232,32,37,53,f4,Comb_hair
343233,33,37,53,f4,Comb_hair
343234,32,37,53,f4,Comb_hair
343235,32,37,53,f4,Comb_hair
343236,32,37,52,f4,Comb_hair
343237,32,38,53,f4,Comb_hair
343238,32,38,52,f4,Comb_hair
343239,33,36,52,f4,Comb_hair
343240,31,37,52,f4,Comb_hair
343241,31,38,53,f4,Comb_hair
343242,32,37,51,f4,Comb_hair
343243,33,37,53,f4,Comb_hair
343244,33,38,52,f4,Comb_hair
343245,32,38,52,f4,Comb_hair
343246,33,37,52,f4,Comb_hair
343247,31,35,52,f4,Comb_hair
343248,31,37,53,f4,Comb_hair
343249,32,36,53,f4,Comb_hair
343250,32,39,52,f4,Comb_hair
343251,33,39,52,f4,Comb_hair
343252,34,38,50,f4,Comb_hair
343253,33,38,51,f4,Comb_hair
343254,33,39,52,f4,Comb_hair
343255,32,39,52,f4,Comb_hair
343256,33,38,52,f4,Comb_hair
343257,33,39,53,f4,Comb_hair
343258,32,38,53,f4,Comb_hair
343259,31,37,53,f4,Comb_hair
343260,32,36,54,f4,Comb_hair
343261,31,39,56,f4,Comb_hair
343262,32,41,55,f4,Comb_hair
343263,35,44,55,f4,Comb_hair
343264,36,44,53,f4,Comb_hair
343265,36,43,51,f4,Comb_hair
343266,35,42,50,f4,Comb_hair
343267,38,39,46,f4,Comb_hair
343268,36,42,45,f4,Comb_hair
343269,39,44,47,f4,Comb_hair
343270,38,45,47,f4,Comb_hair
343271,40,45,46,f4,Comb_hair
343272,41,43,48,f4,Comb_hair
343273,39,42,50,f4,Comb_hair
343274,39,40,50,f4,Comb_hair
343275,39,39,50,f4,Comb_hair
343276,38,38,51,f4,Comb_hair
