,x axis,y axis,z axis,tester,activity
372044,30,53,37,f4,Drink_glass
372045,31,53,36,f4,Drink_glass
372046,31,53,37,f4,Drink_glass
372047,31,53,37,f4,Drink_glass
372048,29,52,36,f4,Drink_glass
372049,29,53,37,f4,Drink_glass
372050,29,53,37,f4,Drink_glass
372051,30,52,37,f4,Drink_glass
372052,30,53,37,f4,Drink_glass
372053,30,52,37,f4,Drink_glass
372054,30,53,36,f4,Drink_glass
372055,30,54,36,f4,Drink_glass
372056,30,53,37,f4,Drink_glass
372057,29,53,37,f4,Drink_glass
372058,30,54,37,f4,Drink_glass
372059,31,54,37,f4,Drink_glass
372060,29,53,37,f4,Drink_glass
372061,31,52,36,f4,Drink_glass
372062,30,53,37,f4,Drink_glass
372063,31,53,37,f4,Drink_glass
372064,31,54,37,f4,Drink_glass
372065,29,53,37,f4,Drink_glass
372066,30,53,37,f4,Drink_glass
372067,30,54,38,f4,Drink_glass
372068,30,54,37,f4,Drink_glass
372069,31,52,37,f4,Drink_glass
372070,30,53,36,f4,Drink_glass
372071,30,52,37,f4,Drink_glass
372072,31,53,37,f4,Drink_glass
372073,30,53,37,f4,Drink_glass
372074,31,52,36,f4,Drink_glass
372075,30,53,37,f4,Drink_glass
372076,30,52,37,f4,Drink_glass
372077,31,53,37,f4,Drink_glass
372078,31,52,37,f4,Drink_glass
372079,31,54,36,f4,Drink_glass
372080,31,52,37,f4,Drink_glass
372081,31,53,37,f4,Drink_glass
372082,31,53,37,f4,Drink_glass
372083,29,53,37,f4,Drink_glass
372084,30,53,37,f4,Drink_glass
372085,31,52,38,f4,Drink_glass
372086,31,52,36,f4,Drink_glass
372087,30,53,37,f4,Drink_glass
372088,30,52,37,f4,Drink_glass
372089,30,53,37,f4,Drink_glass
372090,30,52,36,f4,Drink_glass
372091,30,53,36,f4,Drink_glass
372092,31,53,37,f4,Drink_glass
372093,30,52,37,f4,Drink_glass
372094,30,53,37,f4,Drink_glass
372095,31,53,37,f4,Drink_glass
372096,29,53,37,f4,Drink_glass
372097,30,52,37,f4,Drink_glass
372098,31,52,37,f4,Drink_glass
372099,30,53,36,f4,Drink_glass
372100,30,52,37,f4,Drink_glass
372101,32,53,35,f4,Drink_glass
372102,31,54,38,f4,Drink_glass
372103,32,54,39,f4,Drink_glass
372104,32,54,38,f4,Drink_glass
372105,30,54,38,f4,Drink_glass
372106,33,55,38,f4,Drink_glass
372107,35,55,39,f4,Drink_glass
372108,34,54,40,f4,Drink_glass
372109,34,53,40,f4,Drink_glass
372110,34,53,40,f4,Drink_glass
372111,35,53,41,f4,Drink_glass
372112,35,50,43,f4,Drink_glass
372113,33,50,43,f4,Drink_glass
372114,35,47,43,f4,Drink_glass
372115,33,44,42,f4,Drink_glass
372116,34,47,43,f4,Drink_glass
372117,35,46,40,f4,Drink_glass
372118,34,47,43,f4,Drink_glass
372119,33,50,41,f4,Drink_glass
372120,34,50,41,f4,Drink_glass
372121,33,51,42,f4,Drink_glass
372122,32,48,43,f4,Drink_glass
372123,30,48,44,f4,Drink_glass
372124,29,49,43,f4,Drink_glass
372125,30,51,44,f4,Drink_glass
372126,29,51,43,f4,Drink_glass
372127,30,49,44,f4,Drink_glass
372128,30,50,44,f4,Drink_glass
372129,29,48,45,f4,Drink_glass
372130,30,50,45,f4,Drink_glass
372131,29,48,44,f4,Drink_glass
372132,31,50,43,f4,Drink_glass
372133,30,50,45,f4,Drink_glass
372134,30,49,44,f4,Drink_glass
372135,30,50,44,f4,Drink_glass
372136,31,50,45,f4,Drink_glass
372137,31,50,45,f4,Drink_glass
372138,31,51,45,f4,Drink_glass
372139,31,51,45,f4,Drink_glass
372140,32,50,44,f4,Drink_glass
372141,32,49,45,f4,Drink_glass
372142,31,50,46,f4,Drink_glass
372143,32,49,45,f4,Drink_glass
372144,32,48,44,f4,Drink_glass
372145,32,50,44,f4,Drink_glass
372146,32,50,45,f4,Drink_glass
372147,31,50,44,f4,Drink_glass
372148,31,51,43,f4,Drink_glass
372149,31,51,44,f4,Drink_glass
372150,30,51,44,f4,Drink_glass
372151,29,51,42,f4,Drink_glass
372152,31,51,43,f4,Drink_glass
372153,30,51,44,f4,Drink_glass
372154,28,51,44,f4,Drink_glass
372155,29,52,43,f4,Drink_glass
372156,29,51,43,f4,Drink_glass
372157,33,50,44,f4,Drink_glass
372158,31,51,44,f4,Drink_glass
372159,32,49,45,f4,Drink_glass
372160,33,49,46,f4,Drink_glass
372161,33,48,46,f4,Drink_glass
372162,34,49,46,f4,Drink_glass
372163,35,49,47,f4,Drink_glass
372164,35,49,47,f4,Drink_glass
372165,36,49,46,f4,Drink_glass
372166,36,47,47,f4,Drink_glass
372167,36,48,47,f4,Drink_glass
372168,38,48,47,f4,Drink_glass
372169,37,46,47,f4,Drink_glass
372170,38,47,46,f4,Drink_glass
372171,36,47,47,f4,Drink_glass
372172,37,47,46,f4,Drink_glass
372173,38,47,47,f4,Drink_glass
372174,38,46,46,f4,Drink_glass
372175,38,45,46,f4,Drink_glass
372176,38,46,46,f4,Drink_glass
372177,37,44,45,f4,Drink_glass
372178,38,45,45,f4,Drink_glass
372179,38,46,43,f4,Drink_glass
372180,38,45,45,f4,Drink_glass
372181,37,45,45,f4,Drink_glass
372182,37,45,44,f4,Drink_glass
372183,37,45,45,f4,Drink_glass
372184,38,46,46,f4,Drink_glass
372185,39,48,47,f4,Drink_glass
372186,38,49,46,f4,Drink_glass
372187,38,49,46,f4,Drink_glass
372188,37,47,46,f4,Drink_glass
372189,37,48,46,f4,Drink_glass
372190,38,47,47,f4,Drink_glass
372191,38,48,47,f4,Drink_glass
372192,37,48,46,f4,Drink_glass
372193,39,46,47,f4,Drink_glass
372194,38,47,47,f4,Drink_glass
372195,39,47,46,f4,Drink_glass
372196,38,48,46,f4,Drink_glass
372197,39,50,46,f4,Drink_glass
372198,39,44,46,f4,Drink_glass
372199,38,45,46,f4,Drink_glass
372200,38,46,47,f4,Drink_glass
372201,38,46,47,f4,Drink_glass
372202,41,49,49,f4,Drink_glass
372203,39,45,48,f4,Drink_glass
372204,38,45,48,f4,Drink_glass
372205,40,48,49,f4,Drink_glass
372206,40,46,49,f4,Drink_glass
372207,38,44,49,f4,Drink_glass
372208,39,44,48,f4,Drink_glass
372209,39,45,49,f4,Drink_glass
372210,41,43,49,f4,Drink_glass
372211,40,44,48,f4,Drink_glass
372212,40,43,49,f4,Drink_glass
372213,40,43,50,f4,Drink_glass
372214,41,43,49,f4,Drink_glass
372215,40,43,48,f4,Drink_glass
372216,41,42,49,f4,Drink_glass
372217,41,42,48,f4,Drink_glass
372218,41,43,48,f4,Drink_glass
372219,41,42,49,f4,Drink_glass
372220,42,42,49,f4,Drink_glass
372221,42,39,48,f4,Drink_glass
372222,41,41,47,f4,Drink_glass
372223,42,39,49,f4,Drink_glass
372224,41,40,48,f4,Drink_glass
372225,42,41,48,f4,Drink_glass
372226,42,40,50,f4,Drink_glass
372227,43,39,49,f4,Drink_glass
372228,43,40,50,f4,Drink_glass
372229,43,39,49,f4,Drink_glass
372230,42,39,50,f4,Drink_glass
372231,42,39,50,f4,Drink_glass
372232,42,38,50,f4,Drink_glass
372233,43,39,50,f4,Drink_glass
372234,44,38,49,f4,Drink_glass
372235,42,38,50,f4,Drink_glass
372236,43,37,50,f4,Drink_glass
372237,43,40,49,f4,Drink_glass
372238,43,38,50,f4,Drink_glass
372239,43,37,51,f4,Drink_glass
372240,43,38,51,f4,Drink_glass
372241,43,37,50,f4,Drink_glass
372242,44,37,51,f4,Drink_glass
372243,43,36,50,f4,Drink_glass
372244,44,38,50,f4,Drink_glass
372245,43,37,51,f4,Drink_glass
372246,44,37,50,f4,Drink_glass
372247,44,38,49,f4,Drink_glass
372248,43,37,51,f4,Drink_glass
372249,44,36,50,f4,Drink_glass
372250,42,37,51,f4,Drink_glass
372251,43,36,51,f4,Drink_glass
372252,43,36,51,f4,Drink_glass
372253,42,37,49,f4,Drink_glass
372254,42,37,50,f4,Drink_glass
372255,45,37,50,f4,Drink_glass
372256,41,38,51,f4,Drink_glass
372257,42,36,51,f4,Drink_glass
372258,42,35,51,f4,Drink_glass
372259,42,35,50,f4,Drink_glass
372260,43,36,51,f4,Drink_glass
372261,42,36,51,f4,Drink_glass
372262,42,35,51,f4,Drink_glass
372263,41,34,51,f4,Drink_glass
372264,42,34,50,f4,Drink_glass
372265,43,36,51,f4,Drink_glass
372266,42,35,51,f4,Drink_glass
372267,43,34,51,f4,Drink_glass
372268,43,35,50,f4,Drink_glass
372269,42,34,51,f4,Drink_glass
372270,42,34,51,f4,Drink_glass
372271,43,33,50,f4,Drink_glass
372272,42,34,50,f4,Drink_glass
372273,43,34,51,f4,Drink_glass
372274,42,33,51,f4,Drink_glass
372275,42,33,51,f4,Drink_glass
372276,42,34,52,f4,Drink_glass
372277,43,33,52,f4,Drink_glass
372278,42,34,50,f4,Drink_glass
372279,42,34,51,f4,Drink_glass
372280,42,32,51,f4,Drink_glass
372281,43,33,52,f4,Drink_glass
372282,42,34,52,f4,Drink_glass
372283,43,33,52,f4,Drink_glass
372284,43,31,51,f4,Drink_glass
372285,41,33,51,f4,Drink_glass
372286,42,32,51,f4,Drink_glass
372287,40,33,51,f4,Drink_glass
372288,43,32,51,f4,Drink_glass
372289,42,32,51,f4,Drink_glass
372290,43,31,51,f4,Drink_glass
372291,41,32,52,f4,Drink_glass
372292,44,33,51,f4,Drink_glass
372293,43,32,52,f4,Drink_glass
372294,42,31,52,f4,Drink_glass
372295,43,32,50,f4,Drink_glass
372296,43,33,51,f4,Drink_glass
372297,41,32,50,f4,Drink_glass
372298,42,32,51,f4,Drink_glass
372299,42,33,50,f4,Drink_glass
372300,41,31,50,f4,Drink_glass
372301,43,31,51,f4,Drink_glass
372302,43,32,51,f4,Drink_glass
372303,41,32,51,f4,Drink_glass
372304,42,32,52,f4,Drink_glass
372305,42,31,50,f4,Drink_glass
372306,42,30,51,f4,Drink_glass
372307,43,31,50,f4,Drink_glass
372308,42,30,50,f4,Drink_glass
372309,42,31,51,f4,Drink_glass
372310,42,30,51,f4,Drink_glass
372311,43,30,51,f4,Drink_glass
