,x axis,y axis,z axis,tester,activity
114254,17,29,45,f4,Getup_bed
114255,16,29,45,f4,Getup_bed
114256,17,29,45,f4,Getup_bed
114257,16,29,47,f4,Getup_bed
114258,17,29,45,f4,Getup_bed
114259,17,29,47,f4,Getup_bed
114260,17,30,45,f4,Getup_bed
114261,16,29,46,f4,Getup_bed
114262,15,29,46,f4,Getup_bed
114263,17,28,46,f4,Getup_bed
114264,17,30,45,f4,Getup_bed
114265,17,29,47,f4,Getup_bed
114266,17,29,46,f4,Getup_bed
114267,18,30,45,f4,Getup_bed
114268,16,30,46,f4,Getup_bed
114269,17,30,45,f4,Getup_bed
114270,16,29,46,f4,Getup_bed
114271,17,30,45,f4,Getup_bed
114272,17,30,44,f4,Getup_bed
114273,17,29,45,f4,Getup_bed
114274,17,28,46,f4,Getup_bed
114275,16,29,45,f4,Getup_bed
114276,16,30,46,f4,Getup_bed
114277,15,28,46,f4,Getup_bed
114278,17,29,44,f4,Getup_bed
114279,16,28,46,f4,Getup_bed
114280,17,30,46,f4,Getup_bed
114281,15,30,46,f4,Getup_bed
114282,16,29,44,f4,Getup_bed
114283,16,31,45,f4,Getup_bed
114284,16,30,45,f4,Getup_bed
114285,17,29,44,f4,Getup_bed
114286,18,29,46,f4,Getup_bed
114287,16,29,46,f4,Getup_bed
114288,16,30,45,f4,Getup_bed
114289,17,29,45,f4,Getup_bed
114290,18,29,45,f4,Getup_bed
114291,16,29,45,f4,Getup_bed
114292,17,30,46,f4,Getup_bed
114293,17,29,46,f4,Getup_bed
114294,17,29,44,f4,Getup_bed
114295,15,29,47,f4,Getup_bed
114296,16,28,48,f4,Getup_bed
114297,16,29,48,f4,Getup_bed
114298,17,30,48,f4,Getup_bed
114299,16,29,49,f4,Getup_bed
114300,15,28,50,f4,Getup_bed
114301,18,28,48,f4,Getup_bed
114302,20,27,47,f4,Getup_bed
114303,19,27,46,f4,Getup_bed
114304,21,25,46,f4,Getup_bed
114305,21,22,46,f4,Getup_bed
114306,21,22,46,f4,Getup_bed
114307,21,22,46,f4,Getup_bed
114308,20,21,46,f4,Getup_bed
114309,20,19,45,f4,Getup_bed
114310,20,18,44,f4,Getup_bed
114311,20,16,43,f4,Getup_bed
114312,21,19,43,f4,Getup_bed
114313,22,18,41,f4,Getup_bed
114314,24,17,42,f4,Getup_bed
114315,23,14,41,f4,Getup_bed
114316,25,16,41,f4,Getup_bed
114317,24,16,40,f4,Getup_bed
114318,26,15,41,f4,Getup_bed
114319,27,12,40,f4,Getup_bed
114320,27,12,41,f4,Getup_bed
114321,28,11,42,f4,Getup_bed
114322,27,12,41,f4,Getup_bed
114323,28,12,42,f4,Getup_bed
114324,28,12,41,f4,Getup_bed
114325,29,13,41,f4,Getup_bed
114326,29,12,41,f4,Getup_bed
114327,30,13,41,f4,Getup_bed
114328,32,16,41,f4,Getup_bed
114329,35,16,42,f4,Getup_bed
114330,36,16,41,f4,Getup_bed
114331,39,18,40,f4,Getup_bed
114332,40,19,41,f4,Getup_bed
114333,42,20,39,f4,Getup_bed
114334,44,23,38,f4,Getup_bed
114335,45,22,39,f4,Getup_bed
114336,43,23,38,f4,Getup_bed
114337,45,24,39,f4,Getup_bed
114338,45,24,41,f4,Getup_bed
114339,44,22,40,f4,Getup_bed
114340,44,21,44,f4,Getup_bed
114341,42,19,45,f4,Getup_bed
114342,41,18,45,f4,Getup_bed
114343,39,18,45,f4,Getup_bed
114344,40,20,46,f4,Getup_bed
114345,37,19,47,f4,Getup_bed
114346,37,17,47,f4,Getup_bed
114347,37,16,48,f4,Getup_bed
114348,35,13,49,f4,Getup_bed
114349,34,13,46,f4,Getup_bed
114350,33,12,46,f4,Getup_bed
114351,32,13,47,f4,Getup_bed
114352,32,12,45,f4,Getup_bed
114353,33,12,49,f4,Getup_bed
114354,31,12,50,f4,Getup_bed
114355,32,15,51,f4,Getup_bed
114356,33,17,50,f4,Getup_bed
114357,34,16,47,f4,Getup_bed
114358,36,16,47,f4,Getup_bed
114359,37,18,45,f4,Getup_bed
114360,37,21,43,f4,Getup_bed
114361,38,21,42,f4,Getup_bed
114362,39,21,41,f4,Getup_bed
114363,39,21,44,f4,Getup_bed
114364,38,22,44,f4,Getup_bed
114365,38,21,44,f4,Getup_bed
114366,37,23,45,f4,Getup_bed
114367,37,22,45,f4,Getup_bed
114368,36,25,43,f4,Getup_bed
114369,36,25,46,f4,Getup_bed
114370,34,26,49,f4,Getup_bed
114371,32,24,52,f4,Getup_bed
114372,30,26,54,f4,Getup_bed
114373,28,23,54,f4,Getup_bed
114374,28,25,53,f4,Getup_bed
114375,28,25,51,f4,Getup_bed
114376,27,28,51,f4,Getup_bed
114377,30,24,49,f4,Getup_bed
114378,30,24,48,f4,Getup_bed
114379,29,26,50,f4,Getup_bed
114380,28,27,50,f4,Getup_bed
114381,28,26,50,f4,Getup_bed
114382,30,25,52,f4,Getup_bed
114383,30,26,53,f4,Getup_bed
114384,31,25,51,f4,Getup_bed
114385,30,25,53,f4,Getup_bed
114386,30,27,55,f4,Getup_bed
114387,29,28,55,f4,Getup_bed
114388,29,28,55,f4,Getup_bed
114389,27,30,54,f4,Getup_bed
114390,24,31,52,f4,Getup_bed
114391,23,30,53,f4,Getup_bed
114392,23,31,52,f4,Getup_bed
114393,22,30,51,f4,Getup_bed
114394,21,30,50,f4,Getup_bed
114395,22,29,48,f4,Getup_bed
114396,21,30,50,f4,Getup_bed
114397,21,29,51,f4,Getup_bed
114398,24,29,52,f4,Getup_bed
114399,21,29,56,f4,Getup_bed
114400,23,25,56,f4,Getup_bed
114401,23,25,52,f4,Getup_bed
114402,25,32,51,f4,Getup_bed
114403,24,35,50,f4,Getup_bed
114404,25,34,51,f4,Getup_bed
114405,25,32,52,f4,Getup_bed
114406,22,32,51,f4,Getup_bed
114407,21,33,52,f4,Getup_bed
114408,21,33,52,f4,Getup_bed
114409,21,35,53,f4,Getup_bed
114410,21,34,52,f4,Getup_bed
114411,22,32,49,f4,Getup_bed
114412,23,32,49,f4,Getup_bed
114413,23,33,50,f4,Getup_bed
114414,25,34,49,f4,Getup_bed
114415,27,34,49,f4,Getup_bed
114416,28,33,49,f4,Getup_bed
114417,26,33,50,f4,Getup_bed
114418,26,32,51,f4,Getup_bed
114419,25,33,52,f4,Getup_bed
114420,26,35,54,f4,Getup_bed
114421,26,32,54,f4,Getup_bed
114422,28,32,53,f4,Getup_bed
114423,27,33,51,f4,Getup_bed
114424,26,35,51,f4,Getup_bed
114425,26,34,52,f4,Getup_bed
114426,24,33,51,f4,Getup_bed
114427,25,32,51,f4,Getup_bed
114428,25,33,51,f4,Getup_bed
114429,23,34,51,f4,Getup_bed
114430,24,33,51,f4,Getup_bed
114431,25,34,50,f4,Getup_bed
114432,23,33,51,f4,Getup_bed
114433,24,32,50,f4,Getup_bed
114434,25,33,51,f4,Getup_bed
114435,24,33,51,f4,Getup_bed
114436,25,32,51,f4,Getup_bed
114437,25,33,51,f4,Getup_bed
114438,25,33,52,f4,Getup_bed
114439,25,32,51,f4,Getup_bed
114440,25,34,51,f4,Getup_bed
114441,24,34,51,f4,Getup_bed
114442,26,35,51,f4,Getup_bed
114443,26,36,51,f4,Getup_bed
114444,25,36,51,f4,Getup_bed
114445,24,35,51,f4,Getup_bed
114446,25,32,51,f4,Getup_bed
114447,24,33,52,f4,Getup_bed
114448,24,35,51,f4,Getup_bed
114449,24,36,51,f4,Getup_bed
114450,24,35,51,f4,Getup_bed
114451,23,35,52,f4,Getup_bed
114452,24,36,50,f4,Getup_bed
114453,24,36,51,f4,Getup_bed
114454,23,35,50,f4,Getup_bed
114455,22,35,50,f4,Getup_bed
114456,22,35,51,f4,Getup_bed
114457,22,34,50,f4,Getup_bed
114458,22,33,50,f4,Getup_bed
114459,22,36,50,f4,Getup_bed
114460,22,35,50,f4,Getup_bed
114461,23,35,51,f4,Getup_bed
114462,24,36,50,f4,Getup_bed
114463,22,36,49,f4,Getup_bed
114464,22,34,49,f4,Getup_bed
114465,22,33,49,f4,Getup_bed
114466,20,34,50,f4,Getup_bed
114467,19,35,50,f4,Getup_bed
114468,21,34,48,f4,Getup_bed
114469,21,34,50,f4,Getup_bed
114470,22,34,50,f4,Getup_bed
114471,21,34,48,f4,Getup_bed
114472,21,35,51,f4,Getup_bed
114473,19,36,49,f4,Getup_bed
114474,18,34,46,f4,Getup_bed
114475,16,36,46,f4,Getup_bed
114476,18,37,46,f4,Getup_bed
114477,18,35,45,f4,Getup_bed
114478,16,36,44,f4,Getup_bed
114479,15,36,41,f4,Getup_bed
114480,13,35,41,f4,Getup_bed
114481,15,37,44,f4,Getup_bed
114482,14,33,41,f4,Getup_bed
114483,14,35,40,f4,Getup_bed
114484,13,36,38,f4,Getup_bed
114485,12,35,36,f4,Getup_bed
114486,13,34,35,f4,Getup_bed
114487,13,36,36,f4,Getup_bed
114488,12,34,33,f4,Getup_bed
114489,13,35,32,f4,Getup_bed
114490,13,32,32,f4,Getup_bed
114491,11,36,30,f4,Getup_bed
114492,11,34,31,f4,Getup_bed
114493,12,34,29,f4,Getup_bed
114494,11,35,29,f4,Getup_bed
114495,11,30,28,f4,Getup_bed
114496,11,36,28,f4,Getup_bed
114497,10,32,31,f4,Getup_bed
114498,12,34,29,f4,Getup_bed
114499,14,34,26,f4,Getup_bed
114500,13,33,27,f4,Getup_bed
114501,12,35,26,f4,Getup_bed
114502,12,35,26,f4,Getup_bed
114503,10,34,27,f4,Getup_bed
114504,7,30,28,f4,Getup_bed
114505,7,28,26,f4,Getup_bed
114506,4,28,24,f4,Getup_bed
114507,9,28,20,f4,Getup_bed
114508,7,27,21,f4,Getup_bed
114509,10,25,21,f4,Getup_bed
114510,12,27,23,f4,Getup_bed
114511,12,28,25,f4,Getup_bed
114512,14,31,25,f4,Getup_bed
114513,14,29,26,f4,Getup_bed
114514,11,25,26,f4,Getup_bed
114515,15,30,27,f4,Getup_bed
114516,13,30,27,f4,Getup_bed
114517,14,29,29,f4,Getup_bed
114518,15,30,29,f4,Getup_bed
114519,15,30,30,f4,Getup_bed
114520,16,32,31,f4,Getup_bed
114521,15,31,30,f4,Getup_bed
114522,15,32,31,f4,Getup_bed
114523,15,32,32,f4,Getup_bed
114524,14,33,32,f4,Getup_bed
114525,13,32,33,f4,Getup_bed
114526,14,34,33,f4,Getup_bed
114527,12,34,34,f4,Getup_bed
114528,12,35,35,f4,Getup_bed
114529,11,35,33,f4,Getup_bed
114530,12,36,35,f4,Getup_bed
114531,13,35,33,f4,Getup_bed
114532,13,34,32,f4,Getup_bed
114533,12,36,33,f4,Getup_bed
114534,12,38,33,f4,Getup_bed
114535,11,37,32,f4,Getup_bed
114536,14,38,32,f4,Getup_bed
114537,12,38,33,f4,Getup_bed
114538,11,37,34,f4,Getup_bed
114539,13,39,34,f4,Getup_bed
114540,12,38,33,f4,Getup_bed
114541,13,39,35,f4,Getup_bed
114542,14,38,34,f4,Getup_bed
114543,13,38,34,f4,Getup_bed
114544,14,39,34,f4,Getup_bed
114545,14,38,33,f4,Getup_bed
114546,13,38,33,f4,Getup_bed
114547,14,38,32,f4,Getup_bed
114548,13,38,32,f4,Getup_bed
114549,14,39,33,f4,Getup_bed
114550,12,39,35,f4,Getup_bed
114551,14,39,35,f4,Getup_bed
114552,14,40,35,f4,Getup_bed
114553,12,40,36,f4,Getup_bed
114554,11,39,36,f4,Getup_bed
114555,12,39,35,f4,Getup_bed
114556,11,39,36,f4,Getup_bed
114557,12,38,37,f4,Getup_bed
114558,11,39,35,f4,Getup_bed
114559,12,39,36,f4,Getup_bed
114560,11,38,36,f4,Getup_bed
114561,12,37,35,f4,Getup_bed
114562,12,37,35,f4,Getup_bed
114563,13,37,35,f4,Getup_bed
114564,11,37,35,f4,Getup_bed
114565,13,36,35,f4,Getup_bed
114566,12,37,36,f4,Getup_bed
114567,13,37,35,f4,Getup_bed
114568,12,37,34,f4,Getup_bed
114569,13,38,34,f4,Getup_bed
114570,14,38,35,f4,Getup_bed
114571,14,39,35,f4,Getup_bed
114572,13,39,35,f4,Getup_bed
114573,12,38,35,f4,Getup_bed
114574,14,39,35,f4,Getup_bed
114575,13,38,35,f4,Getup_bed
114576,13,39,34,f4,Getup_bed
114577,13,39,36,f4,Getup_bed
114578,13,39,35,f4,Getup_bed
114579,13,37,35,f4,Getup_bed
114580,13,39,35,f4,Getup_bed
114581,13,39,35,f4,Getup_bed
114582,12,38,34,f4,Getup_bed
114583,12,39,35,f4,Getup_bed
114584,11,39,34,f4,Getup_bed
114585,12,39,36,f4,Getup_bed
114586,12,38,35,f4,Getup_bed
114587,14,37,35,f4,Getup_bed
114588,13,37,35,f4,Getup_bed
114589,13,38,35,f4,Getup_bed
114590,12,39,35,f4,Getup_bed
114591,12,38,35,f4,Getup_bed
114592,12,38,35,f4,Getup_bed
114593,12,39,34,f4,Getup_bed
114594,13,38,36,f4,Getup_bed
114595,11,39,35,f4,Getup_bed
114596,13,40,35,f4,Getup_bed
114597,12,38,35,f4,Getup_bed
114598,12,40,35,f4,Getup_bed
114599,13,39,35,f4,Getup_bed
114600,12,37,34,f4,Getup_bed
114601,12,38,34,f4,Getup_bed
114602,12,39,34,f4,Getup_bed
114603,13,38,34,f4,Getup_bed
114604,12,38,34,f4,Getup_bed
114605,12,39,33,f4,Getup_bed
114606,12,39,35,f4,Getup_bed
114607,14,39,34,f4,Getup_bed
114608,13,39,35,f4,Getup_bed
114609,12,39,35,f4,Getup_bed
114610,12,37,34,f4,Getup_bed
114611,13,39,34,f4,Getup_bed
114612,14,38,35,f4,Getup_bed
114613,13,38,35,f4,Getup_bed
114614,12,38,34,f4,Getup_bed
114615,13,38,35,f4,Getup_bed
114616,12,38,34,f4,Getup_bed
114617,27,31,53,f4,Getup_bed
114618,28,31,53,f4,Getup_bed
114619,28,31,53,f4,Getup_bed
114620,29,31,53,f4,Getup_bed
114621,28,31,53,f4,Getup_bed
114622,28,32,53,f4,Getup_bed
114623,28,33,53,f4,Getup_bed
114624,29,31,52,f4,Getup_bed
114625,28,33,53,f4,Getup_bed
114626,28,32,53,f4,Getup_bed
114627,28,32,52,f4,Getup_bed
114628,27,31,52,f4,Getup_bed
114629,29,32,53,f4,Getup_bed
114630,28,32,53,f4,Getup_bed
114631,28,31,51,f4,Getup_bed
114632,27,30,53,f4,Getup_bed
114633,28,31,52,f4,Getup_bed
114634,28,31,53,f4,Getup_bed
114635,28,32,53,f4,Getup_bed
114636,29,32,52,f4,Getup_bed
114637,28,31,52,f4,Getup_bed
114638,28,33,52,f4,Getup_bed
114639,28,32,52,f4,Getup_bed
114640,28,32,54,f4,Getup_bed
114641,28,32,52,f4,Getup_bed
114642,28,32,52,f4,Getup_bed
114643,29,31,52,f4,Getup_bed
114644,28,30,53,f4,Getup_bed
