,x axis,y axis,z axis,tester,activity
4128,13,39,35,f4,Liedown_bed
4129,13,39,35,f4,Liedown_bed
4130,12,38,35,f4,Liedown_bed
4131,13,39,35,f4,Liedown_bed
4132,13,38,35,f4,Liedown_bed
4133,12,39,35,f4,Liedown_bed
4134,12,38,35,f4,Liedown_bed
4135,13,38,34,f4,Liedown_bed
4136,12,38,36,f4,Liedown_bed
4137,13,38,34,f4,Liedown_bed
4138,13,38,33,f4,Liedown_bed
4139,11,37,35,f4,Liedown_bed
4140,12,39,36,f4,Liedown_bed
4141,12,38,35,f4,Liedown_bed
4142,12,38,34,f4,Liedown_bed
4143,12,38,35,f4,Liedown_bed
4144,13,39,35,f4,Liedown_bed
4145,13,39,34,f4,Liedown_bed
4146,12,37,35,f4,Liedown_bed
4147,12,38,35,f4,Liedown_bed
4148,12,38,34,f4,Liedown_bed
4149,11,37,34,f4,Liedown_bed
4150,12,39,35,f4,Liedown_bed
4151,12,38,36,f4,Liedown_bed
4152,12,39,35,f4,Liedown_bed
4153,13,38,35,f4,Liedown_bed
4154,14,39,35,f4,Liedown_bed
4155,12,39,35,f4,Liedown_bed
4156,12,39,35,f4,Liedown_bed
4157,12,39,35,f4,Liedown_bed
4158,13,38,35,f4,Liedown_bed
4159,13,39,35,f4,Liedown_bed
4160,12,39,34,f4,Liedown_bed
4161,12,38,36,f4,Liedown_bed
4162,12,39,35,f4,Liedown_bed
4163,12,39,36,f4,Liedown_bed
4164,12,38,34,f4,Liedown_bed
4165,13,38,34,f4,Liedown_bed
4166,14,39,34,f4,Liedown_bed
4167,12,37,35,f4,Liedown_bed
4168,11,38,34,f4,Liedown_bed
4169,11,39,34,f4,Liedown_bed
4170,11,38,34,f4,Liedown_bed
4171,13,36,35,f4,Liedown_bed
4172,13,36,35,f4,Liedown_bed
4173,12,35,36,f4,Liedown_bed
4174,13,36,36,f4,Liedown_bed
4175,12,35,34,f4,Liedown_bed
4176,12,34,34,f4,Liedown_bed
4177,12,36,36,f4,Liedown_bed
4178,11,37,33,f4,Liedown_bed
4179,11,36,34,f4,Liedown_bed
4180,12,36,34,f4,Liedown_bed
4181,12,36,34,f4,Liedown_bed
4182,12,36,33,f4,Liedown_bed
4183,13,36,33,f4,Liedown_bed
4184,13,35,34,f4,Liedown_bed
4185,12,36,34,f4,Liedown_bed
4186,12,35,34,f4,Liedown_bed
4187,13,35,33,f4,Liedown_bed
4188,11,36,34,f4,Liedown_bed
4189,12,36,34,f4,Liedown_bed
4190,11,37,34,f4,Liedown_bed
4191,12,37,35,f4,Liedown_bed
4192,12,37,34,f4,Liedown_bed
4193,13,37,35,f4,Liedown_bed
4194,14,38,35,f4,Liedown_bed
4195,14,39,34,f4,Liedown_bed
4196,15,38,32,f4,Liedown_bed
4197,13,39,33,f4,Liedown_bed
4198,14,39,33,f4,Liedown_bed
4199,12,39,33,f4,Liedown_bed
4200,13,40,33,f4,Liedown_bed
4201,12,38,31,f4,Liedown_bed
4202,14,39,32,f4,Liedown_bed
4203,13,38,32,f4,Liedown_bed
4204,14,37,32,f4,Liedown_bed
4205,13,37,32,f4,Liedown_bed
4206,14,37,31,f4,Liedown_bed
4207,15,37,32,f4,Liedown_bed
4208,14,36,31,f4,Liedown_bed
4209,15,36,32,f4,Liedown_bed
4210,15,36,31,f4,Liedown_bed
4211,13,37,31,f4,Liedown_bed
4212,13,37,31,f4,Liedown_bed
4213,13,37,32,f4,Liedown_bed
