,x axis,y axis,z axis,tester,activity
286572,14,39,36,f4,Sitdown_chair
286573,13,41,35,f4,Sitdown_chair
286574,13,41,36,f4,Sitdown_chair
286575,14,40,37,f4,Sitdown_chair
286576,12,39,37,f4,Sitdown_chair
286577,14,40,36,f4,Sitdown_chair
286578,13,40,36,f4,Sitdown_chair
286579,13,40,36,f4,Sitdown_chair
286580,14,39,35,f4,Sitdown_chair
286581,13,41,36,f4,Sitdown_chair
286582,14,40,36,f4,Sitdown_chair
286583,13,40,36,f4,Sitdown_chair
286584,14,40,36,f4,Sitdown_chair
286585,14,39,35,f4,Sitdown_chair
286586,14,38,36,f4,Sitdown_chair
286587,14,40,35,f4,Sitdown_chair
286588,13,41,35,f4,Sitdown_chair
286589,14,39,36,f4,Sitdown_chair
286590,15,40,36,f4,Sitdown_chair
286591,13,39,36,f4,Sitdown_chair
286592,12,40,36,f4,Sitdown_chair
286593,13,39,36,f4,Sitdown_chair
286594,13,40,36,f4,Sitdown_chair
286595,12,41,35,f4,Sitdown_chair
286596,15,39,37,f4,Sitdown_chair
286597,13,40,36,f4,Sitdown_chair
286598,13,40,35,f4,Sitdown_chair
286599,13,40,36,f4,Sitdown_chair
286600,14,39,36,f4,Sitdown_chair
286601,15,41,35,f4,Sitdown_chair
286602,13,40,35,f4,Sitdown_chair
286603,14,39,37,f4,Sitdown_chair
286604,14,40,35,f4,Sitdown_chair
286605,13,41,36,f4,Sitdown_chair
286606,14,40,36,f4,Sitdown_chair
286607,14,40,35,f4,Sitdown_chair
286608,14,39,35,f4,Sitdown_chair
286609,13,40,36,f4,Sitdown_chair
286610,13,41,35,f4,Sitdown_chair
286611,14,40,36,f4,Sitdown_chair
286612,12,40,35,f4,Sitdown_chair
286613,14,41,35,f4,Sitdown_chair
286614,14,39,36,f4,Sitdown_chair
286615,13,40,36,f4,Sitdown_chair
286616,12,41,35,f4,Sitdown_chair
286617,13,40,35,f4,Sitdown_chair
286618,13,40,35,f4,Sitdown_chair
286619,13,40,37,f4,Sitdown_chair
286620,14,41,35,f4,Sitdown_chair
286621,13,40,36,f4,Sitdown_chair
286622,12,40,37,f4,Sitdown_chair
286623,14,40,36,f4,Sitdown_chair
286624,13,40,36,f4,Sitdown_chair
286625,14,40,35,f4,Sitdown_chair
286626,13,42,35,f4,Sitdown_chair
286627,13,41,35,f4,Sitdown_chair
286628,14,40,36,f4,Sitdown_chair
286629,14,41,35,f4,Sitdown_chair
286630,14,41,36,f4,Sitdown_chair
286631,15,41,36,f4,Sitdown_chair
286632,14,40,36,f4,Sitdown_chair
286633,13,40,35,f4,Sitdown_chair
286634,15,39,35,f4,Sitdown_chair
286635,15,41,34,f4,Sitdown_chair
286636,15,40,34,f4,Sitdown_chair
286637,15,40,34,f4,Sitdown_chair
286638,16,40,33,f4,Sitdown_chair
286639,15,40,33,f4,Sitdown_chair
286640,16,40,32,f4,Sitdown_chair
286641,17,39,32,f4,Sitdown_chair
286642,17,38,32,f4,Sitdown_chair
286643,17,39,32,f4,Sitdown_chair
286644,18,38,30,f4,Sitdown_chair
286645,19,39,30,f4,Sitdown_chair
286646,15,41,32,f4,Sitdown_chair
286647,13,42,34,f4,Sitdown_chair
286648,12,43,37,f4,Sitdown_chair
286649,7,43,39,f4,Sitdown_chair
286650,10,38,32,f4,Sitdown_chair
286651,8,41,35,f4,Sitdown_chair
286652,7,45,33,f4,Sitdown_chair
286653,12,45,36,f4,Sitdown_chair
286654,13,44,39,f4,Sitdown_chair
286655,13,43,42,f4,Sitdown_chair
286656,16,42,41,f4,Sitdown_chair
286657,20,43,43,f4,Sitdown_chair
286658,20,43,44,f4,Sitdown_chair
286659,20,45,44,f4,Sitdown_chair
286660,20,43,45,f4,Sitdown_chair
286661,19,42,46,f4,Sitdown_chair
286662,19,41,46,f4,Sitdown_chair
286663,19,43,46,f4,Sitdown_chair
286664,20,43,48,f4,Sitdown_chair
286665,23,44,47,f4,Sitdown_chair
286666,24,44,47,f4,Sitdown_chair
286667,23,44,49,f4,Sitdown_chair
286668,24,45,48,f4,Sitdown_chair
286669,24,44,49,f4,Sitdown_chair
286670,24,46,49,f4,Sitdown_chair
286671,25,47,49,f4,Sitdown_chair
286672,26,43,49,f4,Sitdown_chair
286673,27,44,50,f4,Sitdown_chair
286674,28,42,49,f4,Sitdown_chair
286675,28,42,50,f4,Sitdown_chair
286676,30,41,52,f4,Sitdown_chair
286677,32,42,51,f4,Sitdown_chair
286678,32,43,53,f4,Sitdown_chair
286679,32,41,52,f4,Sitdown_chair
286680,30,41,52,f4,Sitdown_chair
286681,34,38,51,f4,Sitdown_chair
