,x axis,y axis,z axis,tester,activity
188087,25,46,47,f4,Standup_chair
188088,26,33,46,f4,Standup_chair
188089,25,45,47,f4,Standup_chair
188090,25,44,48,f4,Standup_chair
188091,25,45,46,f4,Standup_chair
188092,25,46,47,f4,Standup_chair
188093,25,44,47,f4,Standup_chair
188094,25,45,47,f4,Standup_chair
188095,25,44,47,f4,Standup_chair
188096,25,46,47,f4,Standup_chair
188097,25,45,47,f4,Standup_chair
188098,25,45,48,f4,Standup_chair
188099,25,45,46,f4,Standup_chair
188100,26,45,47,f4,Standup_chair
188101,25,44,47,f4,Standup_chair
188102,25,45,47,f4,Standup_chair
188103,26,45,47,f4,Standup_chair
188104,26,44,47,f4,Standup_chair
188105,25,45,47,f4,Standup_chair
188106,26,45,48,f4,Standup_chair
188107,25,45,47,f4,Standup_chair
188108,26,46,47,f4,Standup_chair
188109,26,46,46,f4,Standup_chair
188110,25,45,47,f4,Standup_chair
188111,26,45,48,f4,Standup_chair
188112,25,45,47,f4,Standup_chair
188113,25,45,47,f4,Standup_chair
188114,25,46,47,f4,Standup_chair
188115,24,45,47,f4,Standup_chair
188116,25,46,47,f4,Standup_chair
188117,25,44,46,f4,Standup_chair
188118,26,44,47,f4,Standup_chair
188119,24,46,46,f4,Standup_chair
188120,25,45,47,f4,Standup_chair
188121,26,45,47,f4,Standup_chair
188122,25,45,47,f4,Standup_chair
188123,27,46,47,f4,Standup_chair
188124,26,45,46,f4,Standup_chair
188125,26,44,48,f4,Standup_chair
188126,25,46,47,f4,Standup_chair
188127,25,44,47,f4,Standup_chair
188128,26,45,48,f4,Standup_chair
188129,25,45,48,f4,Standup_chair
188130,26,46,46,f4,Standup_chair
188131,25,45,47,f4,Standup_chair
188132,26,46,47,f4,Standup_chair
188133,25,45,46,f4,Standup_chair
188134,25,45,46,f4,Standup_chair
188135,26,45,47,f4,Standup_chair
188136,24,45,47,f4,Standup_chair
188137,26,45,46,f4,Standup_chair
188138,25,45,47,f4,Standup_chair
188139,25,46,47,f4,Standup_chair
188140,26,44,47,f4,Standup_chair
188141,26,44,47,f4,Standup_chair
188142,24,45,47,f4,Standup_chair
188143,25,44,47,f4,Standup_chair
188144,25,47,48,f4,Standup_chair
188145,26,45,48,f4,Standup_chair
188146,26,45,46,f4,Standup_chair
188147,25,44,47,f4,Standup_chair
188148,25,44,47,f4,Standup_chair
188149,25,44,46,f4,Standup_chair
188150,26,44,48,f4,Standup_chair
188151,24,45,47,f4,Standup_chair
