,x axis,y axis,z axis,tester,activity
156184,46,28,31,f6,Descend_stairs
156185,38,27,29,f6,Descend_stairs
156186,45,21,21,f6,Descend_stairs
156187,53,14,31,f6,Descend_stairs
156188,40,24,43,f6,Descend_stairs
156189,39,26,46,f6,Descend_stairs
156190,41,29,42,f6,Descend_stairs
156191,45,25,46,f6,Descend_stairs
156192,59,22,49,f6,Descend_stairs
156193,63,23,43,f6,Descend_stairs
156194,56,20,45,f6,Descend_stairs
156195,57,2,37,f6,Descend_stairs
156196,62,3,35,f6,Descend_stairs
156197,57,4,31,f6,Descend_stairs
156198,51,7,30,f6,Descend_stairs
156199,49,10,29,f6,Descend_stairs
156200,45,12,30,f6,Descend_stairs
156201,43,16,30,f6,Descend_stairs
156202,40,21,31,f6,Descend_stairs
156203,40,16,29,f6,Descend_stairs
156204,45,14,27,f6,Descend_stairs
156205,43,11,28,f6,Descend_stairs
156206,43,11,29,f6,Descend_stairs
156207,41,10,31,f6,Descend_stairs
156208,43,1,30,f6,Descend_stairs
156209,44,0,33,f6,Descend_stairs
156210,44,0,35,f6,Descend_stairs
156211,42,0,38,f6,Descend_stairs
156212,40,1,34,f6,Descend_stairs
156213,40,8,32,f6,Descend_stairs
156214,41,17,30,f6,Descend_stairs
156215,41,20,29,f6,Descend_stairs
156216,38,25,30,f6,Descend_stairs
156217,36,27,30,f6,Descend_stairs
156218,36,26,31,f6,Descend_stairs
156219,38,24,31,f6,Descend_stairs
156220,38,21,33,f6,Descend_stairs
156221,38,14,35,f6,Descend_stairs
156222,38,10,35,f6,Descend_stairs
156223,41,11,34,f6,Descend_stairs
156224,43,2,37,f6,Descend_stairs
156225,50,0,35,f6,Descend_stairs
156226,56,0,22,f6,Descend_stairs
156227,47,0,15,f6,Descend_stairs
156228,48,0,28,f6,Descend_stairs
156229,53,1,26,f6,Descend_stairs
156230,43,23,27,f6,Descend_stairs
156231,30,39,32,f6,Descend_stairs
156232,40,3,48,f6,Descend_stairs
156233,34,37,34,f6,Descend_stairs
156234,37,28,31,f6,Descend_stairs
156235,39,29,29,f6,Descend_stairs
156236,38,25,30,f6,Descend_stairs
156237,40,18,32,f6,Descend_stairs
156238,41,13,31,f6,Descend_stairs
156239,42,11,29,f6,Descend_stairs
156240,41,10,29,f6,Descend_stairs
156241,40,1,33,f6,Descend_stairs
156242,43,0,32,f6,Descend_stairs
156243,46,0,32,f6,Descend_stairs
156244,41,0,34,f6,Descend_stairs
156245,38,0,32,f6,Descend_stairs
156246,43,6,28,f6,Descend_stairs
156247,41,16,28,f6,Descend_stairs
156248,41,15,33,f6,Descend_stairs
156249,39,8,43,f6,Descend_stairs
156250,45,15,32,f6,Descend_stairs
156251,36,31,28,f6,Descend_stairs
156252,35,28,30,f6,Descend_stairs
156253,34,27,28,f6,Descend_stairs
156254,32,22,29,f6,Descend_stairs
156255,35,15,33,f6,Descend_stairs
156256,37,9,31,f6,Descend_stairs
156257,43,8,30,f6,Descend_stairs
156258,44,0,34,f6,Descend_stairs
156259,50,0,29,f6,Descend_stairs
156260,53,0,30,f6,Descend_stairs
156261,59,0,24,f6,Descend_stairs
156262,45,0,28,f6,Descend_stairs
156263,29,0,24,f6,Descend_stairs
156264,33,1,27,f6,Descend_stairs
156265,34,17,29,f6,Descend_stairs
156266,34,19,29,f6,Descend_stairs
156267,39,22,30,f6,Descend_stairs
156268,40,27,31,f6,Descend_stairs
156269,40,27,30,f6,Descend_stairs
156270,39,26,30,f6,Descend_stairs
156271,37,25,30,f6,Descend_stairs
156272,36,20,31,f6,Descend_stairs
156273,39,15,30,f6,Descend_stairs
156274,39,15,29,f6,Descend_stairs
156275,42,10,30,f6,Descend_stairs
156276,39,10,31,f6,Descend_stairs
156277,39,6,34,f6,Descend_stairs
156278,41,0,35,f6,Descend_stairs
156279,44,0,33,f6,Descend_stairs
156280,43,0,34,f6,Descend_stairs
156281,43,0,35,f6,Descend_stairs
156282,44,0,30,f6,Descend_stairs
156283,43,4,26,f6,Descend_stairs
156284,41,6,28,f6,Descend_stairs
156285,38,12,27,f6,Descend_stairs
156286,36,18,30,f6,Descend_stairs
156287,37,18,32,f6,Descend_stairs
156288,36,20,31,f6,Descend_stairs
156289,37,19,33,f6,Descend_stairs
157778,38,11,32,f6,Descend_stairs
157779,40,11,31,f6,Descend_stairs
157780,41,11,29,f6,Descend_stairs
157781,41,13,31,f6,Descend_stairs
157782,41,12,30,f6,Descend_stairs
