,x axis,y axis,z axis,tester,activity
416584,34,41,51,m11,Pour_water
416585,34,41,51,m11,Pour_water
416586,33,41,51,m11,Pour_water
416587,33,42,52,m11,Pour_water
416588,33,40,52,m11,Pour_water
416589,34,43,52,m11,Pour_water
416590,33,43,50,m11,Pour_water
416591,33,42,51,m11,Pour_water
416592,32,43,51,m11,Pour_water
416593,33,41,50,m11,Pour_water
416594,32,44,52,m11,Pour_water
416595,34,44,52,m11,Pour_water
416596,35,44,50,m11,Pour_water
416597,35,44,50,m11,Pour_water
416598,37,47,50,m11,Pour_water
416599,37,47,50,m11,Pour_water
416600,38,46,49,m11,Pour_water
416601,39,45,47,m11,Pour_water
416602,39,46,47,m11,Pour_water
416603,38,47,48,m11,Pour_water
416604,40,46,48,m11,Pour_water
416605,40,47,47,m11,Pour_water
416606,41,46,46,m11,Pour_water
416607,41,45,46,m11,Pour_water
416608,42,45,47,m11,Pour_water
416609,42,44,46,m11,Pour_water
416610,41,43,44,m11,Pour_water
416611,41,46,45,m11,Pour_water
416612,41,44,45,m11,Pour_water
416613,40,43,44,m11,Pour_water
416614,39,46,44,m11,Pour_water
416615,38,41,46,m11,Pour_water
416616,39,42,48,m11,Pour_water
416617,39,47,42,m11,Pour_water
416618,40,50,46,m11,Pour_water
416619,42,45,48,m11,Pour_water
416620,43,44,47,m11,Pour_water
416621,42,46,47,m11,Pour_water
416622,42,48,43,m11,Pour_water
416623,43,43,44,m11,Pour_water
416624,42,49,43,m11,Pour_water
416625,41,46,43,m11,Pour_water
416626,41,47,44,m11,Pour_water
416627,41,47,45,m11,Pour_water
416628,43,48,45,m11,Pour_water
416629,42,47,47,m11,Pour_water
416630,42,50,47,m11,Pour_water
416631,42,50,47,m11,Pour_water
416632,41,49,46,m11,Pour_water
416633,40,48,45,m11,Pour_water
416634,41,45,47,m11,Pour_water
416635,41,45,45,m11,Pour_water
416636,40,45,45,m11,Pour_water
416637,39,46,47,m11,Pour_water
416638,41,47,47,m11,Pour_water
416639,42,47,46,m11,Pour_water
416640,42,47,46,m11,Pour_water
416641,42,46,45,m11,Pour_water
416642,42,46,45,m11,Pour_water
416643,42,45,47,m11,Pour_water
416644,41,43,46,m11,Pour_water
416645,41,44,48,m11,Pour_water
416646,40,43,47,m11,Pour_water
416647,41,44,47,m11,Pour_water
416648,44,42,47,m11,Pour_water
416649,41,43,48,m11,Pour_water
416650,40,43,47,m11,Pour_water
416651,41,42,47,m11,Pour_water
416652,40,42,48,m11,Pour_water
416653,41,43,49,m11,Pour_water
416654,40,42,49,m11,Pour_water
416655,40,41,49,m11,Pour_water
416656,39,42,49,m11,Pour_water
416657,39,41,49,m11,Pour_water
416658,40,41,49,m11,Pour_water
416659,39,42,50,m11,Pour_water
416660,37,42,50,m11,Pour_water
416661,39,43,49,m11,Pour_water
416662,37,41,50,m11,Pour_water
416663,39,42,51,m11,Pour_water
416664,39,41,50,m11,Pour_water
416665,37,42,52,m11,Pour_water
416666,37,43,51,m11,Pour_water
416667,38,41,52,m11,Pour_water
416668,37,40,50,m11,Pour_water
416669,37,40,52,m11,Pour_water
416670,36,40,51,m11,Pour_water
416671,38,40,52,m11,Pour_water
416672,36,40,51,m11,Pour_water
416673,36,41,50,m11,Pour_water
416674,35,41,52,m11,Pour_water
416675,36,41,52,m11,Pour_water
416676,36,41,51,m11,Pour_water
416677,36,40,52,m11,Pour_water
416678,37,41,51,m11,Pour_water
416679,36,40,51,m11,Pour_water
416680,35,40,51,m11,Pour_water
416681,34,40,51,m11,Pour_water
416682,35,40,54,m11,Pour_water
416683,36,39,53,m11,Pour_water
416684,35,40,52,m11,Pour_water
416685,36,41,53,m11,Pour_water
416686,37,38,51,m11,Pour_water
416687,34,40,52,m11,Pour_water
416688,34,38,52,m11,Pour_water
416689,35,41,52,m11,Pour_water
416690,35,40,51,m11,Pour_water
416691,35,39,51,m11,Pour_water
416692,37,39,52,m11,Pour_water
416693,34,39,50,m11,Pour_water
416694,36,39,51,m11,Pour_water
416695,35,39,52,m11,Pour_water
416696,35,40,52,m11,Pour_water
416697,35,39,53,m11,Pour_water
416698,35,39,51,m11,Pour_water
416699,34,38,53,m11,Pour_water
416700,35,39,51,m11,Pour_water
416701,34,40,52,m11,Pour_water
416702,34,39,52,m11,Pour_water
416703,33,39,51,m11,Pour_water
416704,34,39,53,m11,Pour_water
416705,35,39,52,m11,Pour_water
416706,34,39,52,m11,Pour_water
416707,34,39,52,m11,Pour_water
416708,33,39,52,m11,Pour_water
416709,34,40,53,m11,Pour_water
416710,33,38,52,m11,Pour_water
416711,34,39,52,m11,Pour_water
416712,34,38,53,m11,Pour_water
416713,35,38,53,m11,Pour_water
416714,35,39,52,m11,Pour_water
416715,32,39,51,m11,Pour_water
416716,33,39,52,m11,Pour_water
416717,33,40,51,m11,Pour_water
416718,32,37,52,m11,Pour_water
416719,32,38,53,m11,Pour_water
416720,32,39,53,m11,Pour_water
416721,33,38,52,m11,Pour_water
416722,30,39,53,m11,Pour_water
416723,33,38,52,m11,Pour_water
416724,33,39,53,m11,Pour_water
416725,34,39,51,m11,Pour_water
416726,34,39,53,m11,Pour_water
416727,35,39,53,m11,Pour_water
416728,34,39,51,m11,Pour_water
416729,33,39,52,m11,Pour_water
416730,33,39,52,m11,Pour_water
416731,32,41,52,m11,Pour_water
416732,34,41,52,m11,Pour_water
416733,33,41,52,m11,Pour_water
416734,32,39,52,m11,Pour_water
416735,34,40,52,m11,Pour_water
416736,35,40,52,m11,Pour_water
416737,33,42,51,m11,Pour_water
416738,34,40,51,m11,Pour_water
416739,34,42,50,m11,Pour_water
416740,35,41,51,m11,Pour_water
416741,36,41,50,m11,Pour_water
