,x axis,y axis,z axis,tester,activity
252596,15,39,34,m1,Climb_stairs
252597,13,41,35,m1,Climb_stairs
252598,13,39,34,m1,Climb_stairs
252599,12,40,35,m1,Climb_stairs
252600,11,41,35,m1,Climb_stairs
252601,10,42,36,m1,Climb_stairs
252602,7,42,36,m1,Climb_stairs
252603,4,43,36,m1,Climb_stairs
252604,2,42,34,m1,Climb_stairs
252605,4,41,37,m1,Climb_stairs
252606,13,40,37,m1,Climb_stairs
252607,14,40,37,m1,Climb_stairs
252608,13,39,37,m1,Climb_stairs
252609,14,36,36,m1,Climb_stairs
252610,15,35,36,m1,Climb_stairs
252611,19,38,36,m1,Climb_stairs
252612,19,38,35,m1,Climb_stairs
252613,20,37,36,m1,Climb_stairs
252614,20,38,35,m1,Climb_stairs
252615,20,38,37,m1,Climb_stairs
252616,17,38,37,m1,Climb_stairs
252617,15,38,37,m1,Climb_stairs
252618,14,40,37,m1,Climb_stairs
252619,14,41,38,m1,Climb_stairs
252620,13,40,38,m1,Climb_stairs
252621,13,41,39,m1,Climb_stairs
252622,13,41,38,m1,Climb_stairs
252623,10,40,38,m1,Climb_stairs
252624,7,42,37,m1,Climb_stairs
252625,4,44,37,m1,Climb_stairs
252626,3,44,38,m1,Climb_stairs
252627,7,43,37,m1,Climb_stairs
252628,13,42,36,m1,Climb_stairs
252629,11,41,35,m1,Climb_stairs
252630,13,40,34,m1,Climb_stairs
252631,14,38,34,m1,Climb_stairs
252632,17,38,33,m1,Climb_stairs
252633,18,39,33,m1,Climb_stairs
252634,19,38,33,m1,Climb_stairs
252635,18,39,33,m1,Climb_stairs
252636,19,38,33,m1,Climb_stairs
252637,18,39,33,m1,Climb_stairs
252638,19,39,34,m1,Climb_stairs
252639,15,40,34,m1,Climb_stairs
252640,14,41,33,m1,Climb_stairs
252641,11,42,33,m1,Climb_stairs
252642,9,41,33,m1,Climb_stairs
252643,6,42,35,m1,Climb_stairs
252644,7,41,36,m1,Climb_stairs
252645,5,41,35,m1,Climb_stairs
252646,3,41,34,m1,Climb_stairs
252647,8,39,35,m1,Climb_stairs
252648,12,38,37,m1,Climb_stairs
252649,15,39,35,m1,Climb_stairs
252650,14,39,34,m1,Climb_stairs
252651,15,37,35,m1,Climb_stairs
252652,16,37,36,m1,Climb_stairs
252653,16,38,35,m1,Climb_stairs
252654,20,38,35,m1,Climb_stairs
252655,20,37,35,m1,Climb_stairs
252656,20,38,35,m1,Climb_stairs
252657,19,37,35,m1,Climb_stairs
252658,17,37,35,m1,Climb_stairs
252659,16,39,38,m1,Climb_stairs
252660,16,41,38,m1,Climb_stairs
252661,16,41,37,m1,Climb_stairs
252662,13,41,38,m1,Climb_stairs
252663,12,40,37,m1,Climb_stairs
252664,10,42,37,m1,Climb_stairs
252665,8,40,35,m1,Climb_stairs
252666,5,41,36,m1,Climb_stairs
252667,4,43,36,m1,Climb_stairs
252668,6,42,37,m1,Climb_stairs
252669,10,41,37,m1,Climb_stairs
252670,9,41,34,m1,Climb_stairs
252671,10,38,33,m1,Climb_stairs
252672,14,38,34,m1,Climb_stairs
252673,16,39,34,m1,Climb_stairs
252674,18,38,34,m1,Climb_stairs
252675,19,37,33,m1,Climb_stairs
252676,20,38,33,m1,Climb_stairs
252677,20,38,34,m1,Climb_stairs
252678,20,36,33,m1,Climb_stairs
252679,18,38,33,m1,Climb_stairs
252680,16,38,32,m1,Climb_stairs
252681,13,41,33,m1,Climb_stairs
252682,10,40,32,m1,Climb_stairs
252683,10,41,33,m1,Climb_stairs
252684,9,40,35,m1,Climb_stairs
252685,7,39,36,m1,Climb_stairs
252686,5,41,35,m1,Climb_stairs
252687,3,41,35,m1,Climb_stairs
252688,9,38,36,m1,Climb_stairs
252689,15,40,39,m1,Climb_stairs
252690,14,40,38,m1,Climb_stairs
252691,12,38,37,m1,Climb_stairs
252692,14,37,37,m1,Climb_stairs
252693,17,38,36,m1,Climb_stairs
252694,20,38,37,m1,Climb_stairs
252695,19,37,36,m1,Climb_stairs
252696,20,38,36,m1,Climb_stairs
252697,21,36,37,m1,Climb_stairs
252698,20,38,37,m1,Climb_stairs
252699,17,38,38,m1,Climb_stairs
252700,16,38,37,m1,Climb_stairs
252701,16,38,37,m1,Climb_stairs
252702,13,40,37,m1,Climb_stairs
252703,12,40,37,m1,Climb_stairs
252704,11,42,37,m1,Climb_stairs
252705,10,41,36,m1,Climb_stairs
252706,5,42,36,m1,Climb_stairs
252707,3,43,37,m1,Climb_stairs
252708,4,44,38,m1,Climb_stairs
252709,9,42,38,m1,Climb_stairs
252710,11,41,35,m1,Climb_stairs
252711,11,40,35,m1,Climb_stairs
252712,12,37,34,m1,Climb_stairs
252713,13,39,35,m1,Climb_stairs
252714,15,40,35,m1,Climb_stairs
252715,16,40,34,m1,Climb_stairs
252716,17,38,35,m1,Climb_stairs
252717,19,37,34,m1,Climb_stairs
252718,19,40,34,m1,Climb_stairs
252719,20,39,34,m1,Climb_stairs
252720,19,39,34,m1,Climb_stairs
252721,16,39,34,m1,Climb_stairs
252722,14,39,32,m1,Climb_stairs
252723,12,41,34,m1,Climb_stairs
252724,11,41,34,m1,Climb_stairs
252725,11,41,35,m1,Climb_stairs
252726,12,42,36,m1,Climb_stairs
252727,7,41,36,m1,Climb_stairs
252728,4,41,37,m1,Climb_stairs
252729,6,42,36,m1,Climb_stairs
252730,13,39,37,m1,Climb_stairs
252731,13,40,37,m1,Climb_stairs
252732,12,40,37,m1,Climb_stairs
252733,14,38,37,m1,Climb_stairs
252734,15,39,37,m1,Climb_stairs
252735,17,39,36,m1,Climb_stairs
252736,16,39,36,m1,Climb_stairs
252737,19,38,36,m1,Climb_stairs
252738,18,37,37,m1,Climb_stairs
252739,18,38,36,m1,Climb_stairs
252740,16,39,37,m1,Climb_stairs
252741,15,39,38,m1,Climb_stairs
252742,14,38,37,m1,Climb_stairs
252743,12,38,37,m1,Climb_stairs
252744,12,40,37,m1,Climb_stairs
252745,9,40,38,m1,Climb_stairs
252746,11,42,38,m1,Climb_stairs
252747,11,40,39,m1,Climb_stairs
252748,10,40,38,m1,Climb_stairs
252749,7,41,37,m1,Climb_stairs
252750,7,41,37,m1,Climb_stairs
252751,12,40,37,m1,Climb_stairs
