,x axis,y axis,z axis,tester,activity
348412,35,39,51,m1,Comb_hair
348413,35,39,51,m1,Comb_hair
348414,34,39,52,m1,Comb_hair
348415,35,39,52,m1,Comb_hair
348416,36,39,52,m1,Comb_hair
348417,34,40,51,m1,Comb_hair
348418,35,40,51,m1,Comb_hair
348419,34,39,51,m1,Comb_hair
348420,35,40,52,m1,Comb_hair
348421,35,39,53,m1,Comb_hair
348422,35,39,51,m1,Comb_hair
348423,35,40,52,m1,Comb_hair
348424,35,40,51,m1,Comb_hair
348425,35,39,52,m1,Comb_hair
348426,36,40,52,m1,Comb_hair
348427,34,41,52,m1,Comb_hair
348428,35,39,52,m1,Comb_hair
348429,35,39,51,m1,Comb_hair
348430,35,39,52,m1,Comb_hair
348431,35,40,52,m1,Comb_hair
348432,35,39,51,m1,Comb_hair
348433,34,40,52,m1,Comb_hair
348434,34,39,52,m1,Comb_hair
348435,35,41,52,m1,Comb_hair
348436,35,39,52,m1,Comb_hair
348437,34,39,52,m1,Comb_hair
348438,34,40,52,m1,Comb_hair
348439,34,40,52,m1,Comb_hair
348440,35,39,52,m1,Comb_hair
348441,35,41,52,m1,Comb_hair
348442,35,39,52,m1,Comb_hair
348443,35,40,50,m1,Comb_hair
348444,35,39,51,m1,Comb_hair
348445,35,41,52,m1,Comb_hair
348446,35,39,52,m1,Comb_hair
348447,34,40,51,m1,Comb_hair
348448,34,38,51,m1,Comb_hair
348449,35,41,51,m1,Comb_hair
348450,36,37,50,m1,Comb_hair
348451,38,39,50,m1,Comb_hair
348452,38,36,51,m1,Comb_hair
348453,35,37,52,m1,Comb_hair
348454,35,41,51,m1,Comb_hair
348455,32,39,53,m1,Comb_hair
348456,33,39,55,m1,Comb_hair
348457,32,41,54,m1,Comb_hair
348458,32,40,52,m1,Comb_hair
348459,31,42,54,m1,Comb_hair
348460,31,41,56,m1,Comb_hair
348461,27,39,51,m1,Comb_hair
348462,33,44,50,m1,Comb_hair
348463,31,37,50,m1,Comb_hair
348464,31,39,50,m1,Comb_hair
