,x axis,y axis,z axis,tester,activity
157352,12,38,35,m1,Descend_stairs
157353,12,38,35,m1,Descend_stairs
157354,13,40,35,m1,Descend_stairs
157355,13,40,36,m1,Descend_stairs
157356,12,40,34,m1,Descend_stairs
157357,14,39,35,m1,Descend_stairs
157358,13,40,35,m1,Descend_stairs
157359,12,39,35,m1,Descend_stairs
157360,12,40,35,m1,Descend_stairs
157361,12,40,35,m1,Descend_stairs
157362,13,37,37,m1,Descend_stairs
157363,12,40,35,m1,Descend_stairs
157364,13,39,36,m1,Descend_stairs
157365,13,40,36,m1,Descend_stairs
157366,13,39,37,m1,Descend_stairs
157367,12,41,36,m1,Descend_stairs
157368,13,41,36,m1,Descend_stairs
157369,12,41,38,m1,Descend_stairs
157370,13,42,37,m1,Descend_stairs
157371,14,41,38,m1,Descend_stairs
157372,15,40,38,m1,Descend_stairs
157373,15,42,38,m1,Descend_stairs
157374,15,42,39,m1,Descend_stairs
157375,16,42,39,m1,Descend_stairs
157376,18,41,39,m1,Descend_stairs
157377,17,41,39,m1,Descend_stairs
157378,18,41,39,m1,Descend_stairs
157379,16,41,39,m1,Descend_stairs
157380,17,40,39,m1,Descend_stairs
157381,17,42,38,m1,Descend_stairs
157382,12,43,37,m1,Descend_stairs
157383,10,43,37,m1,Descend_stairs
157384,9,43,37,m1,Descend_stairs
157385,13,44,37,m1,Descend_stairs
157386,14,44,37,m1,Descend_stairs
157387,13,44,36,m1,Descend_stairs
157388,14,42,36,m1,Descend_stairs
157389,14,42,35,m1,Descend_stairs
157390,15,44,35,m1,Descend_stairs
157391,18,42,35,m1,Descend_stairs
157392,18,42,34,m1,Descend_stairs
157393,18,44,35,m1,Descend_stairs
157394,18,45,35,m1,Descend_stairs
157395,16,43,34,m1,Descend_stairs
157396,18,42,34,m1,Descend_stairs
157397,19,41,35,m1,Descend_stairs
157398,19,39,35,m1,Descend_stairs
157399,20,40,35,m1,Descend_stairs
157400,20,40,35,m1,Descend_stairs
157401,20,39,34,m1,Descend_stairs
157402,18,40,34,m1,Descend_stairs
157403,17,41,36,m1,Descend_stairs
157404,17,43,36,m1,Descend_stairs
157405,11,46,37,m1,Descend_stairs
157406,8,48,38,m1,Descend_stairs
157407,6,52,37,m1,Descend_stairs
157408,1,56,39,m1,Descend_stairs
157409,9,50,40,m1,Descend_stairs
157410,14,47,41,m1,Descend_stairs
157411,14,47,38,m1,Descend_stairs
157412,15,44,36,m1,Descend_stairs
157413,17,42,36,m1,Descend_stairs
157414,21,40,35,m1,Descend_stairs
157415,24,39,35,m1,Descend_stairs
157416,24,38,34,m1,Descend_stairs
157417,28,36,35,m1,Descend_stairs
157418,27,37,33,m1,Descend_stairs
157419,26,38,33,m1,Descend_stairs
157420,22,38,34,m1,Descend_stairs
157421,16,41,34,m1,Descend_stairs
157422,6,44,33,m1,Descend_stairs
157423,0,46,34,m1,Descend_stairs
157424,0,46,31,m1,Descend_stairs
157425,0,48,32,m1,Descend_stairs
157426,4,45,33,m1,Descend_stairs
157427,11,44,36,m1,Descend_stairs
157428,16,45,36,m1,Descend_stairs
157429,20,46,35,m1,Descend_stairs
157430,21,44,35,m1,Descend_stairs
157431,20,43,35,m1,Descend_stairs
157432,19,41,34,m1,Descend_stairs
157433,21,40,33,m1,Descend_stairs
