,x axis,y axis,z axis,tester,activity
111237,39,51,21,m1,Getup_bed
111238,40,50,21,m1,Getup_bed
111239,39,49,22,m1,Getup_bed
111240,39,49,23,m1,Getup_bed
111241,39,49,22,m1,Getup_bed
111242,40,50,22,m1,Getup_bed
111243,39,50,22,m1,Getup_bed
111244,40,50,22,m1,Getup_bed
111245,40,50,22,m1,Getup_bed
111246,40,50,23,m1,Getup_bed
111247,40,49,22,m1,Getup_bed
111248,39,50,23,m1,Getup_bed
111249,39,50,24,m1,Getup_bed
111250,39,50,23,m1,Getup_bed
111251,39,50,22,m1,Getup_bed
111252,39,50,22,m1,Getup_bed
111253,39,49,23,m1,Getup_bed
111254,40,50,21,m1,Getup_bed
111255,39,49,23,m1,Getup_bed
111256,41,50,22,m1,Getup_bed
111257,39,49,22,m1,Getup_bed
111258,38,49,21,m1,Getup_bed
111259,40,49,22,m1,Getup_bed
111260,39,51,23,m1,Getup_bed
111261,39,50,22,m1,Getup_bed
111262,39,50,22,m1,Getup_bed
111263,39,50,23,m1,Getup_bed
111264,39,50,22,m1,Getup_bed
111265,39,49,23,m1,Getup_bed
111266,39,50,23,m1,Getup_bed
111267,40,51,22,m1,Getup_bed
111268,39,50,22,m1,Getup_bed
111269,39,51,22,m1,Getup_bed
111270,39,50,22,m1,Getup_bed
111271,39,49,23,m1,Getup_bed
111272,39,49,23,m1,Getup_bed
111273,40,51,23,m1,Getup_bed
111274,39,49,23,m1,Getup_bed
111275,39,51,22,m1,Getup_bed
111276,38,51,23,m1,Getup_bed
111277,39,50,24,m1,Getup_bed
111278,41,51,23,m1,Getup_bed
111279,41,49,23,m1,Getup_bed
111280,40,50,23,m1,Getup_bed
111281,40,51,22,m1,Getup_bed
111282,39,50,22,m1,Getup_bed
111283,39,51,23,m1,Getup_bed
111284,40,49,23,m1,Getup_bed
111285,39,50,22,m1,Getup_bed
111286,39,50,24,m1,Getup_bed
111287,39,51,23,m1,Getup_bed
111288,39,51,23,m1,Getup_bed
111289,40,51,22,m1,Getup_bed
111290,39,50,22,m1,Getup_bed
111291,40,49,23,m1,Getup_bed
111292,39,50,24,m1,Getup_bed
111293,39,50,24,m1,Getup_bed
111294,40,50,24,m1,Getup_bed
111295,39,51,23,m1,Getup_bed
111296,39,51,23,m1,Getup_bed
111297,43,51,23,m1,Getup_bed
111298,40,51,28,m1,Getup_bed
111299,37,52,28,m1,Getup_bed
111300,39,49,30,m1,Getup_bed
111301,38,54,30,m1,Getup_bed
111302,38,53,30,m1,Getup_bed
111303,40,53,32,m1,Getup_bed
111304,37,53,34,m1,Getup_bed
111305,38,53,36,m1,Getup_bed
111306,39,52,35,m1,Getup_bed
111307,40,52,35,m1,Getup_bed
111308,38,52,36,m1,Getup_bed
111309,39,54,35,m1,Getup_bed
111310,39,53,35,m1,Getup_bed
111311,40,52,37,m1,Getup_bed
