,x axis,y axis,z axis,tester,activity
285514,13,36,33,m1,Sitdown_chair
285515,12,37,33,m1,Sitdown_chair
285516,12,37,35,m1,Sitdown_chair
285517,12,38,33,m1,Sitdown_chair
285518,13,37,35,m1,Sitdown_chair
285519,12,37,34,m1,Sitdown_chair
285520,12,37,33,m1,Sitdown_chair
285521,12,37,33,m1,Sitdown_chair
285522,13,37,35,m1,Sitdown_chair
285523,12,37,34,m1,Sitdown_chair
285524,12,37,34,m1,Sitdown_chair
285525,12,38,34,m1,Sitdown_chair
285526,11,36,33,m1,Sitdown_chair
285527,12,37,34,m1,Sitdown_chair
285528,12,36,33,m1,Sitdown_chair
285529,12,36,34,m1,Sitdown_chair
285530,12,35,32,m1,Sitdown_chair
285531,12,36,34,m1,Sitdown_chair
285532,12,38,34,m1,Sitdown_chair
285533,13,37,34,m1,Sitdown_chair
285534,11,38,33,m1,Sitdown_chair
285535,13,37,33,m1,Sitdown_chair
285536,13,37,34,m1,Sitdown_chair
285537,13,37,33,m1,Sitdown_chair
285538,11,37,34,m1,Sitdown_chair
285539,12,36,33,m1,Sitdown_chair
285540,12,37,32,m1,Sitdown_chair
285541,13,37,32,m1,Sitdown_chair
285542,13,36,33,m1,Sitdown_chair
285543,12,36,30,m1,Sitdown_chair
285544,12,36,31,m1,Sitdown_chair
285545,12,36,32,m1,Sitdown_chair
285546,12,35,31,m1,Sitdown_chair
285547,11,37,32,m1,Sitdown_chair
285548,12,38,31,m1,Sitdown_chair
285549,11,37,31,m1,Sitdown_chair
285550,12,37,30,m1,Sitdown_chair
285551,15,33,30,m1,Sitdown_chair
285552,14,32,29,m1,Sitdown_chair
285553,14,35,28,m1,Sitdown_chair
285554,15,33,28,m1,Sitdown_chair
285555,12,31,29,m1,Sitdown_chair
285556,14,34,29,m1,Sitdown_chair
285557,14,41,31,m1,Sitdown_chair
285558,12,42,31,m1,Sitdown_chair
285559,13,40,32,m1,Sitdown_chair
285560,15,45,31,m1,Sitdown_chair
285561,11,50,45,m1,Sitdown_chair
285562,12,42,41,m1,Sitdown_chair
285563,22,35,34,m1,Sitdown_chair
285564,14,37,37,m1,Sitdown_chair
285565,12,38,34,m1,Sitdown_chair
285566,10,37,33,m1,Sitdown_chair
285567,11,38,28,m1,Sitdown_chair
285568,15,38,31,m1,Sitdown_chair
285569,15,37,31,m1,Sitdown_chair
285570,14,37,30,m1,Sitdown_chair
285571,14,35,29,m1,Sitdown_chair
285572,13,36,29,m1,Sitdown_chair
285573,14,33,32,m1,Sitdown_chair
285574,13,35,35,m1,Sitdown_chair
285575,9,42,34,m1,Sitdown_chair
285576,6,40,39,m1,Sitdown_chair
285577,4,43,44,m1,Sitdown_chair
285578,6,46,47,m1,Sitdown_chair
285579,12,45,50,m1,Sitdown_chair
285580,19,42,49,m1,Sitdown_chair
285581,20,43,45,m1,Sitdown_chair
285582,21,43,45,m1,Sitdown_chair
285583,21,46,46,m1,Sitdown_chair
285584,19,47,46,m1,Sitdown_chair
285585,23,41,51,m1,Sitdown_chair
285586,23,41,59,m1,Sitdown_chair
285587,27,43,53,m1,Sitdown_chair
285588,34,40,50,m1,Sitdown_chair
285589,39,42,51,m1,Sitdown_chair
285590,47,39,52,m1,Sitdown_chair
285591,38,37,47,m1,Sitdown_chair
285592,44,42,48,m1,Sitdown_chair
285593,36,48,53,m1,Sitdown_chair
285594,41,42,50,m1,Sitdown_chair
285595,43,43,49,m1,Sitdown_chair
285596,32,44,44,m1,Sitdown_chair
285597,34,45,47,m1,Sitdown_chair
285598,31,44,43,m1,Sitdown_chair
285599,27,42,40,m1,Sitdown_chair
285600,26,40,43,m1,Sitdown_chair
285601,23,34,51,m1,Sitdown_chair
285602,19,34,50,m1,Sitdown_chair
285603,19,34,47,m1,Sitdown_chair
285604,17,31,47,m1,Sitdown_chair
285605,16,30,46,m1,Sitdown_chair
285606,16,32,44,m1,Sitdown_chair
285607,17,33,44,m1,Sitdown_chair
285608,14,30,41,m1,Sitdown_chair
285609,23,46,63,m1,Sitdown_chair
285610,8,34,62,m1,Sitdown_chair
285611,11,33,43,m1,Sitdown_chair
285612,18,38,45,m1,Sitdown_chair
285613,22,38,49,m1,Sitdown_chair
285614,22,40,51,m1,Sitdown_chair
285615,23,41,49,m1,Sitdown_chair
285616,23,44,46,m1,Sitdown_chair
285617,24,44,47,m1,Sitdown_chair
285618,23,44,48,m1,Sitdown_chair
285619,21,43,47,m1,Sitdown_chair
285620,23,42,48,m1,Sitdown_chair
285621,23,42,48,m1,Sitdown_chair
285622,21,40,47,m1,Sitdown_chair
285623,22,40,49,m1,Sitdown_chair
285624,24,41,49,m1,Sitdown_chair
285625,24,41,50,m1,Sitdown_chair
285626,26,40,51,m1,Sitdown_chair
285627,25,41,49,m1,Sitdown_chair
285628,24,40,50,m1,Sitdown_chair
285629,23,40,49,m1,Sitdown_chair
285630,24,41,49,m1,Sitdown_chair
285631,23,39,49,m1,Sitdown_chair
285632,24,40,49,m1,Sitdown_chair
285633,23,42,48,m1,Sitdown_chair
285634,24,40,48,m1,Sitdown_chair
285635,25,41,48,m1,Sitdown_chair
285636,23,41,49,m1,Sitdown_chair
285637,25,41,49,m1,Sitdown_chair
285638,23,40,50,m1,Sitdown_chair
285639,24,41,49,m1,Sitdown_chair
285640,24,40,49,m1,Sitdown_chair
285641,24,41,48,m1,Sitdown_chair
285642,25,41,49,m1,Sitdown_chair
285643,24,43,49,m1,Sitdown_chair
285644,24,42,49,m1,Sitdown_chair
285645,25,41,49,m1,Sitdown_chair
285646,24,42,49,m1,Sitdown_chair
285647,24,40,48,m1,Sitdown_chair
285648,24,41,50,m1,Sitdown_chair
285649,24,41,49,m1,Sitdown_chair
285650,24,40,48,m1,Sitdown_chair
285651,24,41,49,m1,Sitdown_chair
285652,24,42,49,m1,Sitdown_chair
285653,22,41,48,m1,Sitdown_chair
285654,24,40,49,m1,Sitdown_chair
285655,24,41,49,m1,Sitdown_chair
285656,24,40,49,m1,Sitdown_chair
285657,24,42,49,m1,Sitdown_chair
285658,23,41,48,m1,Sitdown_chair
285659,23,42,49,m1,Sitdown_chair
285660,24,41,49,m1,Sitdown_chair
285661,24,40,49,m1,Sitdown_chair
285662,24,42,49,m1,Sitdown_chair
285663,23,40,49,m1,Sitdown_chair
285664,24,42,48,m1,Sitdown_chair
285665,23,40,50,m1,Sitdown_chair
285666,24,42,49,m1,Sitdown_chair
285667,25,41,49,m1,Sitdown_chair
285668,24,41,48,m1,Sitdown_chair
285669,24,40,48,m1,Sitdown_chair
285825,12,37,35,m1,Sitdown_chair
285826,12,38,34,m1,Sitdown_chair
285827,12,38,34,m1,Sitdown_chair
285828,12,37,34,m1,Sitdown_chair
285829,13,36,34,m1,Sitdown_chair
285830,12,37,35,m1,Sitdown_chair
285831,11,37,35,m1,Sitdown_chair
285832,12,37,34,m1,Sitdown_chair
285833,12,37,34,m1,Sitdown_chair
285834,12,37,35,m1,Sitdown_chair
285835,11,38,34,m1,Sitdown_chair
285836,13,37,35,m1,Sitdown_chair
285837,12,37,34,m1,Sitdown_chair
285838,13,36,34,m1,Sitdown_chair
285839,13,36,34,m1,Sitdown_chair
285840,11,38,34,m1,Sitdown_chair
285841,12,37,34,m1,Sitdown_chair
285842,12,36,35,m1,Sitdown_chair
285843,12,37,34,m1,Sitdown_chair
285844,11,38,34,m1,Sitdown_chair
285845,12,37,33,m1,Sitdown_chair
285846,12,37,34,m1,Sitdown_chair
285847,12,38,34,m1,Sitdown_chair
285848,12,37,34,m1,Sitdown_chair
285849,12,36,35,m1,Sitdown_chair
285850,11,37,34,m1,Sitdown_chair
285851,11,37,35,m1,Sitdown_chair
285852,12,37,36,m1,Sitdown_chair
285853,12,40,36,m1,Sitdown_chair
285854,12,38,37,m1,Sitdown_chair
285855,11,36,37,m1,Sitdown_chair
285856,11,36,36,m1,Sitdown_chair
285857,12,38,35,m1,Sitdown_chair
285858,13,38,35,m1,Sitdown_chair
285859,14,38,34,m1,Sitdown_chair
285860,13,38,33,m1,Sitdown_chair
