,x axis,y axis,z axis,tester,activity
226320,39,57,42,m2,Brush_teeth
226321,37,33,32,m2,Brush_teeth
226322,40,59,39,m2,Brush_teeth
226323,40,57,35,m2,Brush_teeth
226324,41,51,36,m2,Brush_teeth
226325,41,44,35,m2,Brush_teeth
226326,37,44,35,m2,Brush_teeth
226327,39,41,36,m2,Brush_teeth
226328,40,50,37,m2,Brush_teeth
226329,36,52,37,m2,Brush_teeth
226330,37,50,39,m2,Brush_teeth
226331,38,51,40,m2,Brush_teeth
226332,36,52,41,m2,Brush_teeth
226333,39,55,42,m2,Brush_teeth
226334,38,52,42,m2,Brush_teeth
226335,38,51,41,m2,Brush_teeth
226336,38,52,42,m2,Brush_teeth
226337,38,51,40,m2,Brush_teeth
226338,39,48,38,m2,Brush_teeth
226339,37,47,36,m2,Brush_teeth
226340,35,47,38,m2,Brush_teeth
226341,37,50,43,m2,Brush_teeth
226342,34,53,44,m2,Brush_teeth
226343,34,56,43,m2,Brush_teeth
226344,33,53,43,m2,Brush_teeth
226345,31,51,47,m2,Brush_teeth
226346,31,51,44,m2,Brush_teeth
226347,33,54,42,m2,Brush_teeth
226348,35,52,45,m2,Brush_teeth
226349,34,50,44,m2,Brush_teeth
226350,34,48,43,m2,Brush_teeth
226351,35,50,43,m2,Brush_teeth
226352,33,50,43,m2,Brush_teeth
226353,34,48,45,m2,Brush_teeth
226354,36,50,44,m2,Brush_teeth
226355,36,49,44,m2,Brush_teeth
226356,37,47,44,m2,Brush_teeth
226357,37,47,46,m2,Brush_teeth
226358,35,48,45,m2,Brush_teeth
226359,35,49,44,m2,Brush_teeth
226360,36,49,44,m2,Brush_teeth
226361,35,48,44,m2,Brush_teeth
226362,34,49,44,m2,Brush_teeth
226363,35,50,43,m2,Brush_teeth
226364,33,50,44,m2,Brush_teeth
226365,32,49,45,m2,Brush_teeth
226366,33,49,46,m2,Brush_teeth
226367,33,48,46,m2,Brush_teeth
226368,31,50,45,m2,Brush_teeth
226369,31,48,45,m2,Brush_teeth
226370,33,49,45,m2,Brush_teeth
226371,34,49,45,m2,Brush_teeth
226372,34,49,46,m2,Brush_teeth
226373,34,50,45,m2,Brush_teeth
226374,33,50,45,m2,Brush_teeth
226375,33,50,44,m2,Brush_teeth
226376,33,50,45,m2,Brush_teeth
226377,33,50,44,m2,Brush_teeth
226378,32,49,45,m2,Brush_teeth
226379,32,51,44,m2,Brush_teeth
226380,33,50,44,m2,Brush_teeth
226381,33,50,44,m2,Brush_teeth
226382,32,50,45,m2,Brush_teeth
226383,33,49,45,m2,Brush_teeth
226384,33,49,45,m2,Brush_teeth
226385,32,50,44,m2,Brush_teeth
226386,33,50,44,m2,Brush_teeth
226387,32,50,44,m2,Brush_teeth
226388,32,50,45,m2,Brush_teeth
226389,33,49,46,m2,Brush_teeth
226390,33,48,45,m2,Brush_teeth
226391,32,47,45,m2,Brush_teeth
226392,32,49,44,m2,Brush_teeth
226393,32,48,45,m2,Brush_teeth
226394,32,47,45,m2,Brush_teeth
226395,32,46,44,m2,Brush_teeth
226396,33,45,45,m2,Brush_teeth
226397,34,45,45,m2,Brush_teeth
226398,35,49,48,m2,Brush_teeth
226399,33,51,49,m2,Brush_teeth
226400,33,49,49,m2,Brush_teeth
226401,35,46,49,m2,Brush_teeth
226402,36,43,47,m2,Brush_teeth
226403,38,44,45,m2,Brush_teeth
226404,36,47,45,m2,Brush_teeth
226405,35,45,44,m2,Brush_teeth
226406,33,47,43,m2,Brush_teeth
226407,32,49,45,m2,Brush_teeth
226408,32,48,44,m2,Brush_teeth
226409,31,50,44,m2,Brush_teeth
226410,30,51,44,m2,Brush_teeth
226411,31,51,44,m2,Brush_teeth
226412,31,50,44,m2,Brush_teeth
226413,29,50,45,m2,Brush_teeth
226414,29,51,45,m2,Brush_teeth
226415,31,50,45,m2,Brush_teeth
226416,28,51,44,m2,Brush_teeth
226417,29,50,45,m2,Brush_teeth
226418,31,50,45,m2,Brush_teeth
226419,30,51,43,m2,Brush_teeth
226420,29,50,44,m2,Brush_teeth
226421,30,49,43,m2,Brush_teeth
226422,30,51,43,m2,Brush_teeth
226423,30,51,43,m2,Brush_teeth
226424,31,50,42,m2,Brush_teeth
226425,32,51,42,m2,Brush_teeth
226426,30,49,43,m2,Brush_teeth
226427,29,52,42,m2,Brush_teeth
226428,29,52,43,m2,Brush_teeth
226429,30,50,42,m2,Brush_teeth
226430,29,50,43,m2,Brush_teeth
226431,30,51,42,m2,Brush_teeth
226432,28,50,43,m2,Brush_teeth
226433,29,50,42,m2,Brush_teeth
226434,29,49,44,m2,Brush_teeth
226435,29,51,43,m2,Brush_teeth
226436,28,50,44,m2,Brush_teeth
226437,30,49,43,m2,Brush_teeth
226438,28,49,44,m2,Brush_teeth
226439,29,50,43,m2,Brush_teeth
226440,30,49,43,m2,Brush_teeth
226441,30,50,43,m2,Brush_teeth
226442,29,50,42,m2,Brush_teeth
226443,31,51,40,m2,Brush_teeth
226444,30,54,42,m2,Brush_teeth
226445,29,53,42,m2,Brush_teeth
226446,28,51,41,m2,Brush_teeth
226447,29,50,40,m2,Brush_teeth
226448,27,51,42,m2,Brush_teeth
226449,27,50,40,m2,Brush_teeth
226450,28,51,39,m2,Brush_teeth
226451,28,50,40,m2,Brush_teeth
226452,29,51,37,m2,Brush_teeth
226453,27,52,41,m2,Brush_teeth
226454,29,52,42,m2,Brush_teeth
226455,29,52,41,m2,Brush_teeth
226456,31,52,40,m2,Brush_teeth
226457,31,51,41,m2,Brush_teeth
226458,30,51,40,m2,Brush_teeth
226459,28,53,39,m2,Brush_teeth
226460,29,52,40,m2,Brush_teeth
226461,29,51,40,m2,Brush_teeth
226462,28,52,39,m2,Brush_teeth
226463,28,52,39,m2,Brush_teeth
226464,28,50,39,m2,Brush_teeth
226465,28,51,40,m2,Brush_teeth
226466,28,51,38,m2,Brush_teeth
226467,29,52,39,m2,Brush_teeth
226468,27,52,38,m2,Brush_teeth
226469,27,53,40,m2,Brush_teeth
226470,28,53,38,m2,Brush_teeth
226471,28,52,39,m2,Brush_teeth
226472,28,52,38,m2,Brush_teeth
226473,28,52,38,m2,Brush_teeth
226474,28,52,38,m2,Brush_teeth
226475,28,52,38,m2,Brush_teeth
226476,27,53,38,m2,Brush_teeth
226477,27,52,38,m2,Brush_teeth
226478,27,53,36,m2,Brush_teeth
226479,27,54,36,m2,Brush_teeth
226480,27,53,37,m2,Brush_teeth
226481,27,53,35,m2,Brush_teeth
226482,27,54,33,m2,Brush_teeth
226483,28,54,32,m2,Brush_teeth
226484,27,53,32,m2,Brush_teeth
226485,26,53,32,m2,Brush_teeth
226486,25,52,31,m2,Brush_teeth
226487,27,52,31,m2,Brush_teeth
226488,25,49,30,m2,Brush_teeth
226489,24,52,29,m2,Brush_teeth
226490,24,50,29,m2,Brush_teeth
226491,24,51,26,m2,Brush_teeth
226492,24,54,24,m2,Brush_teeth
226493,25,50,30,m2,Brush_teeth
226494,28,49,26,m2,Brush_teeth
226495,27,51,26,m2,Brush_teeth
226496,26,52,27,m2,Brush_teeth
226497,26,53,27,m2,Brush_teeth
226498,26,53,27,m2,Brush_teeth
226499,28,51,28,m2,Brush_teeth
226500,28,51,27,m2,Brush_teeth
226501,28,53,26,m2,Brush_teeth
226502,26,53,26,m2,Brush_teeth
226503,26,52,27,m2,Brush_teeth
226504,26,52,28,m2,Brush_teeth
226505,28,52,29,m2,Brush_teeth
226506,27,53,28,m2,Brush_teeth
226507,26,55,30,m2,Brush_teeth
226508,27,51,30,m2,Brush_teeth
226509,27,53,31,m2,Brush_teeth
226510,25,51,30,m2,Brush_teeth
226511,26,53,30,m2,Brush_teeth
226512,26,52,31,m2,Brush_teeth
226513,26,50,31,m2,Brush_teeth
226514,28,51,31,m2,Brush_teeth
226515,27,51,31,m2,Brush_teeth
226516,27,51,31,m2,Brush_teeth
226517,27,54,31,m2,Brush_teeth
226518,26,52,29,m2,Brush_teeth
226519,25,53,29,m2,Brush_teeth
226520,25,53,29,m2,Brush_teeth
226521,25,53,29,m2,Brush_teeth
226522,25,53,29,m2,Brush_teeth
226523,25,52,29,m2,Brush_teeth
226524,26,52,29,m2,Brush_teeth
226525,26,52,30,m2,Brush_teeth
226526,25,53,29,m2,Brush_teeth
226527,25,52,29,m2,Brush_teeth
226528,26,52,29,m2,Brush_teeth
226529,25,52,29,m2,Brush_teeth
226530,25,53,29,m2,Brush_teeth
226531,25,52,30,m2,Brush_teeth
226532,25,50,29,m2,Brush_teeth
226533,25,52,29,m2,Brush_teeth
226534,26,52,28,m2,Brush_teeth
226535,24,51,28,m2,Brush_teeth
226536,26,52,29,m2,Brush_teeth
226537,26,51,28,m2,Brush_teeth
226538,25,51,29,m2,Brush_teeth
226539,26,52,28,m2,Brush_teeth
226540,24,51,29,m2,Brush_teeth
226541,24,53,30,m2,Brush_teeth
226542,23,53,32,m2,Brush_teeth
226543,24,51,31,m2,Brush_teeth
226544,25,52,33,m2,Brush_teeth
226545,27,50,34,m2,Brush_teeth
226546,21,49,34,m2,Brush_teeth
226547,24,52,33,m2,Brush_teeth
226548,20,55,31,m2,Brush_teeth
226549,22,50,32,m2,Brush_teeth
226550,21,51,31,m2,Brush_teeth
226551,22,51,31,m2,Brush_teeth
226552,23,51,33,m2,Brush_teeth
226553,23,53,32,m2,Brush_teeth
226554,24,52,33,m2,Brush_teeth
226555,25,50,34,m2,Brush_teeth
226556,24,49,35,m2,Brush_teeth
226557,24,53,35,m2,Brush_teeth
226558,24,52,36,m2,Brush_teeth
226559,22,52,32,m2,Brush_teeth
226560,25,49,34,m2,Brush_teeth
226561,25,50,36,m2,Brush_teeth
226562,25,52,33,m2,Brush_teeth
226563,24,47,33,m2,Brush_teeth
226564,23,51,31,m2,Brush_teeth
226565,22,51,32,m2,Brush_teeth
226566,19,49,32,m2,Brush_teeth
226567,20,51,31,m2,Brush_teeth
226568,23,52,29,m2,Brush_teeth
226569,21,51,28,m2,Brush_teeth
226570,23,53,31,m2,Brush_teeth
226571,25,52,29,m2,Brush_teeth
226572,24,53,29,m2,Brush_teeth
226573,26,53,31,m2,Brush_teeth
226574,25,52,29,m2,Brush_teeth
226575,23,50,29,m2,Brush_teeth
226576,23,52,28,m2,Brush_teeth
226577,20,51,30,m2,Brush_teeth
226578,19,49,30,m2,Brush_teeth
226579,20,50,29,m2,Brush_teeth
226580,19,52,29,m2,Brush_teeth
226581,19,52,30,m2,Brush_teeth
226582,20,51,31,m2,Brush_teeth
226583,22,50,30,m2,Brush_teeth
226584,24,51,30,m2,Brush_teeth
226585,28,50,29,m2,Brush_teeth
226586,28,50,30,m2,Brush_teeth
226587,30,49,30,m2,Brush_teeth
226588,29,51,30,m2,Brush_teeth
226589,26,52,30,m2,Brush_teeth
226590,19,52,29,m2,Brush_teeth
226591,14,51,28,m2,Brush_teeth
226592,14,51,29,m2,Brush_teeth
226593,17,50,30,m2,Brush_teeth
226594,19,51,29,m2,Brush_teeth
226595,22,49,29,m2,Brush_teeth
226596,27,52,29,m2,Brush_teeth
226597,27,51,30,m2,Brush_teeth
226598,27,51,31,m2,Brush_teeth
226599,25,52,30,m2,Brush_teeth
226600,24,53,34,m2,Brush_teeth
226601,23,52,35,m2,Brush_teeth
226602,23,51,31,m2,Brush_teeth
226603,23,50,32,m2,Brush_teeth
226604,23,50,31,m2,Brush_teeth
226605,22,49,32,m2,Brush_teeth
226606,23,51,31,m2,Brush_teeth
226607,22,52,28,m2,Brush_teeth
226608,22,52,29,m2,Brush_teeth
226609,22,52,30,m2,Brush_teeth
226610,25,48,31,m2,Brush_teeth
226611,23,54,30,m2,Brush_teeth
226612,25,51,31,m2,Brush_teeth
226613,24,51,30,m2,Brush_teeth
226614,23,48,38,m2,Brush_teeth
226615,22,50,34,m2,Brush_teeth
226616,22,53,32,m2,Brush_teeth
226617,22,52,31,m2,Brush_teeth
226618,24,51,33,m2,Brush_teeth
226619,23,52,31,m2,Brush_teeth
226620,24,51,30,m2,Brush_teeth
226621,24,53,33,m2,Brush_teeth
226622,23,52,31,m2,Brush_teeth
226623,22,49,36,m2,Brush_teeth
226624,24,49,35,m2,Brush_teeth
226625,27,50,31,m2,Brush_teeth
226626,27,49,29,m2,Brush_teeth
226627,24,50,31,m2,Brush_teeth
226628,21,52,31,m2,Brush_teeth
226629,22,47,33,m2,Brush_teeth
226630,20,54,28,m2,Brush_teeth
