,x axis,y axis,z axis,tester,activity
395,12,38,33,m2,Liedown_bed
396,12,38,33,m2,Liedown_bed
397,11,37,34,m2,Liedown_bed
398,11,37,33,m2,Liedown_bed
399,12,38,34,m2,Liedown_bed
400,14,39,34,m2,Liedown_bed
401,13,40,35,m2,Liedown_bed
402,13,39,33,m2,Liedown_bed
403,11,38,33,m2,Liedown_bed
404,13,39,34,m2,Liedown_bed
405,12,39,34,m2,Liedown_bed
406,12,39,33,m2,Liedown_bed
407,13,38,34,m2,Liedown_bed
408,12,39,35,m2,Liedown_bed
409,12,41,33,m2,Liedown_bed
410,12,42,35,m2,Liedown_bed
411,13,40,33,m2,Liedown_bed
412,13,40,31,m2,Liedown_bed
413,14,42,32,m2,Liedown_bed
414,13,38,32,m2,Liedown_bed
415,14,35,29,m2,Liedown_bed
416,14,39,30,m2,Liedown_bed
417,12,39,29,m2,Liedown_bed
418,10,33,34,m2,Liedown_bed
419,11,37,32,m2,Liedown_bed
420,8,39,30,m2,Liedown_bed
421,6,41,31,m2,Liedown_bed
422,6,37,31,m2,Liedown_bed
423,9,38,31,m2,Liedown_bed
424,11,43,30,m2,Liedown_bed
425,18,39,30,m2,Liedown_bed
426,22,38,28,m2,Liedown_bed
427,26,37,30,m2,Liedown_bed
428,24,34,31,m2,Liedown_bed
429,23,41,33,m2,Liedown_bed
430,24,40,35,m2,Liedown_bed
431,22,37,32,m2,Liedown_bed
432,22,40,30,m2,Liedown_bed
433,19,44,29,m2,Liedown_bed
434,17,43,29,m2,Liedown_bed
435,13,41,28,m2,Liedown_bed
436,11,38,28,m2,Liedown_bed
437,7,43,26,m2,Liedown_bed
438,4,42,24,m2,Liedown_bed
439,5,37,21,m2,Liedown_bed
440,7,38,23,m2,Liedown_bed
441,9,37,23,m2,Liedown_bed
442,9,37,21,m2,Liedown_bed
443,12,35,22,m2,Liedown_bed
444,11,34,23,m2,Liedown_bed
445,13,36,26,m2,Liedown_bed
446,10,36,22,m2,Liedown_bed
447,6,37,35,m2,Liedown_bed
448,7,32,35,m2,Liedown_bed
449,10,32,31,m2,Liedown_bed
450,12,40,33,m2,Liedown_bed
451,12,40,33,m2,Liedown_bed
452,11,39,31,m2,Liedown_bed
453,12,39,33,m2,Liedown_bed
454,13,39,31,m2,Liedown_bed
455,14,39,32,m2,Liedown_bed
456,14,41,34,m2,Liedown_bed
457,14,41,32,m2,Liedown_bed
458,13,40,34,m2,Liedown_bed
459,11,41,36,m2,Liedown_bed
460,8,44,39,m2,Liedown_bed
461,6,45,44,m2,Liedown_bed
462,7,44,46,m2,Liedown_bed
463,8,44,47,m2,Liedown_bed
464,8,41,44,m2,Liedown_bed
465,14,34,40,m2,Liedown_bed
466,17,33,38,m2,Liedown_bed
467,21,34,38,m2,Liedown_bed
468,22,34,37,m2,Liedown_bed
469,21,36,37,m2,Liedown_bed
470,19,33,39,m2,Liedown_bed
471,16,36,44,m2,Liedown_bed
472,14,37,49,m2,Liedown_bed
473,13,37,48,m2,Liedown_bed
474,12,35,47,m2,Liedown_bed
475,14,34,46,m2,Liedown_bed
476,13,34,44,m2,Liedown_bed
477,17,34,43,m2,Liedown_bed
478,19,32,41,m2,Liedown_bed
479,19,34,39,m2,Liedown_bed
480,18,36,40,m2,Liedown_bed
481,15,35,41,m2,Liedown_bed
482,13,36,42,m2,Liedown_bed
483,11,34,45,m2,Liedown_bed
484,12,32,44,m2,Liedown_bed
485,14,35,43,m2,Liedown_bed
486,13,33,41,m2,Liedown_bed
487,14,33,40,m2,Liedown_bed
488,15,33,40,m2,Liedown_bed
489,12,33,38,m2,Liedown_bed
490,13,30,36,m2,Liedown_bed
491,11,30,35,m2,Liedown_bed
492,14,29,36,m2,Liedown_bed
493,14,29,38,m2,Liedown_bed
494,14,29,37,m2,Liedown_bed
495,12,31,35,m2,Liedown_bed
496,8,30,35,m2,Liedown_bed
497,8,29,39,m2,Liedown_bed
498,11,27,38,m2,Liedown_bed
499,12,29,37,m2,Liedown_bed
500,13,31,37,m2,Liedown_bed
501,12,32,35,m2,Liedown_bed
502,13,30,33,m2,Liedown_bed
503,10,28,33,m2,Liedown_bed
504,12,30,34,m2,Liedown_bed
505,12,34,34,m2,Liedown_bed
506,14,33,35,m2,Liedown_bed
507,14,37,37,m2,Liedown_bed
508,12,37,40,m2,Liedown_bed
509,14,36,39,m2,Liedown_bed
510,12,40,39,m2,Liedown_bed
511,13,41,40,m2,Liedown_bed
512,15,42,41,m2,Liedown_bed
513,17,42,42,m2,Liedown_bed
514,19,42,45,m2,Liedown_bed
515,19,40,49,m2,Liedown_bed
516,19,43,45,m2,Liedown_bed
517,22,46,42,m2,Liedown_bed
518,21,44,43,m2,Liedown_bed
519,21,43,40,m2,Liedown_bed
520,20,44,39,m2,Liedown_bed
521,19,45,37,m2,Liedown_bed
522,19,42,36,m2,Liedown_bed
523,20,45,37,m2,Liedown_bed
524,21,44,38,m2,Liedown_bed
525,21,43,37,m2,Liedown_bed
526,16,51,39,m2,Liedown_bed
527,18,32,58,m2,Liedown_bed
528,11,37,54,m2,Liedown_bed
529,27,39,39,m2,Liedown_bed
530,26,51,46,m2,Liedown_bed
531,25,50,56,m2,Liedown_bed
532,28,50,52,m2,Liedown_bed
533,28,47,48,m2,Liedown_bed
534,28,47,47,m2,Liedown_bed
535,31,49,48,m2,Liedown_bed
536,33,48,50,m2,Liedown_bed
537,34,47,49,m2,Liedown_bed
538,34,48,49,m2,Liedown_bed
539,36,46,50,m2,Liedown_bed
540,37,47,50,m2,Liedown_bed
541,33,46,50,m2,Liedown_bed
542,36,45,49,m2,Liedown_bed
543,33,44,49,m2,Liedown_bed
544,36,44,47,m2,Liedown_bed
545,37,43,49,m2,Liedown_bed
546,36,45,50,m2,Liedown_bed
547,39,46,50,m2,Liedown_bed
548,38,43,49,m2,Liedown_bed
549,39,42,50,m2,Liedown_bed
550,39,41,51,m2,Liedown_bed
551,38,39,49,m2,Liedown_bed
552,41,37,49,m2,Liedown_bed
553,42,36,50,m2,Liedown_bed
554,41,37,50,m2,Liedown_bed
555,42,41,53,m2,Liedown_bed
556,41,40,50,m2,Liedown_bed
557,43,44,50,m2,Liedown_bed
558,47,48,52,m2,Liedown_bed
559,49,49,54,m2,Liedown_bed
560,48,44,52,m2,Liedown_bed
561,55,44,52,m2,Liedown_bed
562,48,43,50,m2,Liedown_bed
563,46,39,47,m2,Liedown_bed
564,40,38,45,m2,Liedown_bed
565,37,36,45,m2,Liedown_bed
566,32,38,46,m2,Liedown_bed
567,29,38,45,m2,Liedown_bed
568,28,41,41,m2,Liedown_bed
569,23,41,45,m2,Liedown_bed
570,25,37,48,m2,Liedown_bed
571,28,39,41,m2,Liedown_bed
572,26,40,43,m2,Liedown_bed
573,23,41,41,m2,Liedown_bed
574,23,43,42,m2,Liedown_bed
575,22,44,44,m2,Liedown_bed
576,25,63,62,m2,Liedown_bed
577,27,48,63,m2,Liedown_bed
578,30,45,63,m2,Liedown_bed
579,33,48,54,m2,Liedown_bed
580,35,49,50,m2,Liedown_bed
581,33,43,48,m2,Liedown_bed
582,35,37,42,m2,Liedown_bed
583,41,40,43,m2,Liedown_bed
