,x axis,y axis,z axis,tester,activity
190156,28,34,52,m2,Standup_chair
190157,27,33,52,m2,Standup_chair
190158,28,33,51,m2,Standup_chair
190159,27,33,51,m2,Standup_chair
190160,25,33,51,m2,Standup_chair
190161,26,31,52,m2,Standup_chair
190162,27,33,52,m2,Standup_chair
190163,26,33,52,m2,Standup_chair
190164,26,32,53,m2,Standup_chair
190165,26,31,54,m2,Standup_chair
190166,27,31,57,m2,Standup_chair
190167,26,31,61,m2,Standup_chair
190168,28,33,61,m2,Standup_chair
190169,30,32,60,m2,Standup_chair
190170,29,37,56,m2,Standup_chair
190171,29,51,48,m2,Standup_chair
190172,29,54,47,m2,Standup_chair
190173,32,45,44,m2,Standup_chair
190174,40,46,32,m2,Standup_chair
190175,44,33,30,m2,Standup_chair
190176,40,29,35,m2,Standup_chair
190177,34,26,41,m2,Standup_chair
190178,32,25,44,m2,Standup_chair
190179,25,24,55,m2,Standup_chair
190180,19,26,59,m2,Standup_chair
190181,20,31,61,m2,Standup_chair
190182,22,32,56,m2,Standup_chair
190183,26,31,54,m2,Standup_chair
190184,21,33,63,m2,Standup_chair
190185,30,45,47,m2,Standup_chair
190186,23,39,54,m2,Standup_chair
190187,25,33,53,m2,Standup_chair
190188,26,35,53,m2,Standup_chair
190189,27,37,52,m2,Standup_chair
190190,24,40,49,m2,Standup_chair
190191,22,39,47,m2,Standup_chair
190192,22,42,47,m2,Standup_chair
190193,22,44,46,m2,Standup_chair
190194,22,44,46,m2,Standup_chair
190195,20,42,44,m2,Standup_chair
190196,20,43,44,m2,Standup_chair
190197,19,45,43,m2,Standup_chair
190198,21,45,42,m2,Standup_chair
190199,19,45,42,m2,Standup_chair
190200,18,46,42,m2,Standup_chair
190201,20,44,42,m2,Standup_chair
190202,18,45,42,m2,Standup_chair
190203,18,45,43,m2,Standup_chair
190204,17,44,42,m2,Standup_chair
190205,18,44,41,m2,Standup_chair
190206,16,44,41,m2,Standup_chair
190207,17,44,41,m2,Standup_chair
190208,15,43,40,m2,Standup_chair
190209,13,41,40,m2,Standup_chair
190210,13,43,41,m2,Standup_chair
190211,10,45,39,m2,Standup_chair
190212,8,46,39,m2,Standup_chair
190213,8,43,39,m2,Standup_chair
190214,11,42,38,m2,Standup_chair
190215,13,38,37,m2,Standup_chair
190216,16,36,36,m2,Standup_chair
190217,15,37,35,m2,Standup_chair
190218,16,38,34,m2,Standup_chair
190219,17,36,33,m2,Standup_chair
190220,17,35,32,m2,Standup_chair
190221,14,35,34,m2,Standup_chair
190222,13,36,38,m2,Standup_chair
190223,13,37,38,m2,Standup_chair
190224,13,37,40,m2,Standup_chair
190225,15,39,41,m2,Standup_chair
190226,14,38,40,m2,Standup_chair
190227,15,37,41,m2,Standup_chair
190228,15,37,42,m2,Standup_chair
190229,15,38,41,m2,Standup_chair
190230,14,36,38,m2,Standup_chair
190231,15,37,36,m2,Standup_chair
190232,13,37,38,m2,Standup_chair
190233,13,38,40,m2,Standup_chair
190234,13,40,39,m2,Standup_chair
190235,13,40,40,m2,Standup_chair
190236,13,39,40,m2,Standup_chair
190237,14,42,38,m2,Standup_chair
190238,14,39,37,m2,Standup_chair
190239,13,39,37,m2,Standup_chair
190240,14,41,37,m2,Standup_chair
190241,15,43,37,m2,Standup_chair
190242,13,42,38,m2,Standup_chair
190243,14,41,38,m2,Standup_chair
190244,13,42,38,m2,Standup_chair
190245,12,43,37,m2,Standup_chair
190246,12,44,38,m2,Standup_chair
190247,14,43,38,m2,Standup_chair
190248,16,43,38,m2,Standup_chair
190249,19,44,39,m2,Standup_chair
190250,21,43,40,m2,Standup_chair
190251,19,45,39,m2,Standup_chair
190252,18,53,38,m2,Standup_chair
190253,17,44,39,m2,Standup_chair
190254,17,40,38,m2,Standup_chair
190255,15,41,39,m2,Standup_chair
190256,14,43,40,m2,Standup_chair
190257,15,42,40,m2,Standup_chair
190258,15,43,40,m2,Standup_chair
190259,15,43,38,m2,Standup_chair
190260,16,44,38,m2,Standup_chair
190261,16,44,38,m2,Standup_chair
190262,15,43,38,m2,Standup_chair
190263,15,41,38,m2,Standup_chair
190264,14,41,39,m2,Standup_chair
190265,15,41,40,m2,Standup_chair
190266,14,42,40,m2,Standup_chair
190267,15,42,40,m2,Standup_chair
190268,14,42,39,m2,Standup_chair
190269,15,40,37,m2,Standup_chair
190270,15,41,38,m2,Standup_chair
190271,14,41,38,m2,Standup_chair
190272,13,39,38,m2,Standup_chair
190273,16,40,39,m2,Standup_chair
190274,14,41,39,m2,Standup_chair
190275,15,41,38,m2,Standup_chair
190276,15,41,38,m2,Standup_chair
190277,15,40,37,m2,Standup_chair
190278,15,39,40,m2,Standup_chair
190279,14,40,40,m2,Standup_chair
190280,13,37,41,m2,Standup_chair
190281,11,37,40,m2,Standup_chair
190282,12,41,41,m2,Standup_chair
190283,11,38,36,m2,Standup_chair
190284,9,38,30,m2,Standup_chair
190285,11,39,30,m2,Standup_chair
190286,13,41,33,m2,Standup_chair
190287,14,38,34,m2,Standup_chair
190288,15,38,33,m2,Standup_chair
190289,15,37,34,m2,Standup_chair
190290,17,36,36,m2,Standup_chair
190291,16,37,37,m2,Standup_chair
190292,14,36,39,m2,Standup_chair
190293,13,35,39,m2,Standup_chair
190294,11,36,40,m2,Standup_chair
190295,11,37,40,m2,Standup_chair
190296,10,39,40,m2,Standup_chair
190297,9,38,41,m2,Standup_chair
190298,12,45,46,m2,Standup_chair
190299,14,44,40,m2,Standup_chair
190300,14,41,38,m2,Standup_chair
190301,13,41,35,m2,Standup_chair
190302,15,39,34,m2,Standup_chair
190303,13,40,33,m2,Standup_chair
190304,12,39,32,m2,Standup_chair
190305,12,37,31,m2,Standup_chair
190306,11,38,33,m2,Standup_chair
190307,13,36,34,m2,Standup_chair
190308,11,38,33,m2,Standup_chair
190309,13,38,33,m2,Standup_chair
190310,13,40,34,m2,Standup_chair
190311,14,38,35,m2,Standup_chair
190312,14,39,34,m2,Standup_chair
190313,12,38,35,m2,Standup_chair
190314,11,38,35,m2,Standup_chair
190315,12,38,36,m2,Standup_chair
190316,12,40,36,m2,Standup_chair
190317,13,40,36,m2,Standup_chair
190318,12,40,35,m2,Standup_chair
190319,12,41,33,m2,Standup_chair
190320,13,40,33,m2,Standup_chair
190321,12,39,33,m2,Standup_chair
190322,12,38,33,m2,Standup_chair
190323,14,40,34,m2,Standup_chair
192110,30,36,52,m2,Standup_chair
192111,30,36,52,m2,Standup_chair
192112,30,37,53,m2,Standup_chair
192113,31,36,52,m2,Standup_chair
192114,30,36,53,m2,Standup_chair
192115,30,35,53,m2,Standup_chair
192116,29,38,52,m2,Standup_chair
192117,30,37,52,m2,Standup_chair
192118,30,35,52,m2,Standup_chair
192119,32,36,53,m2,Standup_chair
192120,30,36,52,m2,Standup_chair
192121,30,36,53,m2,Standup_chair
192122,30,36,53,m2,Standup_chair
192123,31,37,52,m2,Standup_chair
192124,31,36,53,m2,Standup_chair
192125,32,36,52,m2,Standup_chair
192126,32,36,52,m2,Standup_chair
192127,31,35,51,m2,Standup_chair
192128,30,37,52,m2,Standup_chair
192129,31,35,53,m2,Standup_chair
192130,30,35,53,m2,Standup_chair
192131,29,37,52,m2,Standup_chair
192132,30,37,52,m2,Standup_chair
192133,30,37,53,m2,Standup_chair
192134,29,36,52,m2,Standup_chair
192135,30,36,52,m2,Standup_chair
192136,30,37,53,m2,Standup_chair
192137,30,38,52,m2,Standup_chair
192138,31,36,52,m2,Standup_chair
192139,31,36,52,m2,Standup_chair
192140,30,35,52,m2,Standup_chair
192141,31,36,52,m2,Standup_chair
192142,31,37,53,m2,Standup_chair
192143,31,36,51,m2,Standup_chair
192144,30,37,53,m2,Standup_chair
192145,30,36,53,m2,Standup_chair
192146,30,36,53,m2,Standup_chair
192147,31,36,52,m2,Standup_chair
192148,30,37,54,m2,Standup_chair
192149,30,36,53,m2,Standup_chair
192150,31,37,52,m2,Standup_chair
192151,31,36,53,m2,Standup_chair
192152,30,36,53,m2,Standup_chair
192153,30,37,52,m2,Standup_chair
192154,31,36,53,m2,Standup_chair
192155,31,36,52,m2,Standup_chair
192156,30,37,52,m2,Standup_chair
192157,30,37,53,m2,Standup_chair
192158,31,36,53,m2,Standup_chair
192159,30,36,53,m2,Standup_chair
192160,30,36,53,m2,Standup_chair
192161,30,36,53,m2,Standup_chair
192162,30,37,52,m2,Standup_chair
192163,30,37,53,m2,Standup_chair
192164,30,38,53,m2,Standup_chair
192165,31,36,53,m2,Standup_chair
192166,31,35,53,m2,Standup_chair
192167,30,35,53,m2,Standup_chair
192168,30,37,52,m2,Standup_chair
192169,29,35,52,m2,Standup_chair
192170,30,37,53,m2,Standup_chair
192171,30,36,52,m2,Standup_chair
192172,31,35,52,m2,Standup_chair
192173,30,36,53,m2,Standup_chair
192174,30,37,53,m2,Standup_chair
192175,31,36,54,m2,Standup_chair
192176,29,35,53,m2,Standup_chair
192177,31,36,53,m2,Standup_chair
192178,30,36,53,m2,Standup_chair
192179,31,36,52,m2,Standup_chair
192180,30,36,53,m2,Standup_chair
192181,30,36,53,m2,Standup_chair
192182,30,35,53,m2,Standup_chair
192183,30,37,52,m2,Standup_chair
192184,31,37,53,m2,Standup_chair
192185,31,36,52,m2,Standup_chair
192186,31,36,53,m2,Standup_chair
192187,30,35,53,m2,Standup_chair
192188,31,34,52,m2,Standup_chair
