,x axis,y axis,z axis,tester,activity
177351,13,39,38,m2,Use_telephone
177352,13,39,38,m2,Use_telephone
177353,13,37,40,m2,Use_telephone
177354,14,38,39,m2,Use_telephone
177355,15,38,40,m2,Use_telephone
177356,14,35,39,m2,Use_telephone
177357,14,37,40,m2,Use_telephone
177358,13,37,40,m2,Use_telephone
177359,11,36,38,m2,Use_telephone
177360,11,36,38,m2,Use_telephone
177361,12,35,39,m2,Use_telephone
177362,13,35,40,m2,Use_telephone
177363,15,35,40,m2,Use_telephone
177364,13,37,39,m2,Use_telephone
177365,11,37,41,m2,Use_telephone
177366,11,39,41,m2,Use_telephone
177367,12,36,41,m2,Use_telephone
177368,13,34,41,m2,Use_telephone
177369,13,32,44,m2,Use_telephone
177370,14,30,48,m2,Use_telephone
177371,13,33,46,m2,Use_telephone
177372,15,39,45,m2,Use_telephone
177373,18,43,46,m2,Use_telephone
177374,19,44,43,m2,Use_telephone
177375,22,49,39,m2,Use_telephone
177376,25,52,38,m2,Use_telephone
177377,29,53,36,m2,Use_telephone
177378,33,53,35,m2,Use_telephone
177379,35,55,38,m2,Use_telephone
177380,34,55,39,m2,Use_telephone
177381,34,55,40,m2,Use_telephone
177382,35,52,41,m2,Use_telephone
177383,34,51,38,m2,Use_telephone
177384,35,50,39,m2,Use_telephone
177385,33,52,40,m2,Use_telephone
177386,33,53,39,m2,Use_telephone
177387,33,52,36,m2,Use_telephone
177388,33,53,40,m2,Use_telephone
177389,35,52,41,m2,Use_telephone
177390,34,49,42,m2,Use_telephone
177391,36,50,40,m2,Use_telephone
177392,36,52,40,m2,Use_telephone
177393,35,49,40,m2,Use_telephone
177394,38,49,40,m2,Use_telephone
177395,37,48,41,m2,Use_telephone
177396,37,51,39,m2,Use_telephone
177397,35,51,40,m2,Use_telephone
177398,36,50,42,m2,Use_telephone
177399,37,50,40,m2,Use_telephone
177400,35,49,41,m2,Use_telephone
177401,34,50,41,m2,Use_telephone
177402,33,48,43,m2,Use_telephone
177403,33,49,44,m2,Use_telephone
177404,31,49,45,m2,Use_telephone
177405,32,49,44,m2,Use_telephone
177406,33,47,45,m2,Use_telephone
177407,33,48,46,m2,Use_telephone
177408,32,46,47,m2,Use_telephone
177409,32,44,46,m2,Use_telephone
177410,33,46,48,m2,Use_telephone
177411,33,46,48,m2,Use_telephone
177412,31,44,48,m2,Use_telephone
177413,31,44,49,m2,Use_telephone
177414,31,46,49,m2,Use_telephone
177415,29,45,49,m2,Use_telephone
177416,32,45,50,m2,Use_telephone
177417,31,45,50,m2,Use_telephone
177418,30,42,51,m2,Use_telephone
177419,32,46,50,m2,Use_telephone
177420,30,46,49,m2,Use_telephone
177421,31,47,48,m2,Use_telephone
177422,29,46,47,m2,Use_telephone
177423,31,47,47,m2,Use_telephone
177424,31,45,46,m2,Use_telephone
177425,29,43,46,m2,Use_telephone
177426,30,42,47,m2,Use_telephone
177427,29,41,50,m2,Use_telephone
177428,29,42,50,m2,Use_telephone
177429,30,45,50,m2,Use_telephone
177430,28,45,50,m2,Use_telephone
177431,26,44,49,m2,Use_telephone
177432,30,48,48,m2,Use_telephone
177433,27,43,48,m2,Use_telephone
177434,28,43,49,m2,Use_telephone
177435,27,43,49,m2,Use_telephone
177436,29,43,49,m2,Use_telephone
177437,29,44,48,m2,Use_telephone
177438,28,45,49,m2,Use_telephone
177439,28,47,48,m2,Use_telephone
177440,28,47,50,m2,Use_telephone
177441,29,49,48,m2,Use_telephone
177442,28,46,47,m2,Use_telephone
177443,29,51,41,m2,Use_telephone
177444,30,53,40,m2,Use_telephone
177445,30,52,41,m2,Use_telephone
177446,32,51,41,m2,Use_telephone
177447,33,54,39,m2,Use_telephone
177448,34,53,37,m2,Use_telephone
177449,35,53,37,m2,Use_telephone
177450,35,52,38,m2,Use_telephone
177451,34,53,37,m2,Use_telephone
177452,38,51,40,m2,Use_telephone
177453,38,51,39,m2,Use_telephone
177454,37,50,38,m2,Use_telephone
177455,39,53,42,m2,Use_telephone
177456,42,50,43,m2,Use_telephone
177457,43,44,44,m2,Use_telephone
177458,44,43,43,m2,Use_telephone
177459,41,45,43,m2,Use_telephone
177460,39,44,42,m2,Use_telephone
177461,41,44,42,m2,Use_telephone
177462,40,43,43,m2,Use_telephone
177463,42,47,44,m2,Use_telephone
177464,40,45,45,m2,Use_telephone
177465,41,45,42,m2,Use_telephone
177466,43,46,39,m2,Use_telephone
177467,43,48,39,m2,Use_telephone
177468,44,46,37,m2,Use_telephone
177469,46,44,38,m2,Use_telephone
177470,48,47,37,m2,Use_telephone
177471,50,44,39,m2,Use_telephone
177472,50,42,41,m2,Use_telephone
177473,52,45,40,m2,Use_telephone
177474,51,47,42,m2,Use_telephone
177475,50,47,42,m2,Use_telephone
177476,49,48,41,m2,Use_telephone
177477,46,47,40,m2,Use_telephone
177478,45,50,40,m2,Use_telephone
177479,45,50,39,m2,Use_telephone
177480,45,48,41,m2,Use_telephone
177481,44,48,40,m2,Use_telephone
177482,43,48,40,m2,Use_telephone
