,x axis,y axis,z axis,tester,activity
19105,37,35,51,m2,Walk
19106,37,35,52,m2,Walk
19107,37,35,52,m2,Walk
19108,35,35,51,m2,Walk
19109,34,36,52,m2,Walk
19110,35,37,52,m2,Walk
19111,35,37,53,m2,Walk
19112,35,35,52,m2,Walk
19113,36,36,53,m2,Walk
19114,37,39,54,m2,Walk
19115,36,37,53,m2,Walk
19116,35,40,55,m2,Walk
19117,33,41,56,m2,Walk
19118,35,42,53,m2,Walk
19119,33,43,50,m2,Walk
19120,29,47,48,m2,Walk
19121,32,42,47,m2,Walk
19122,32,44,45,m2,Walk
19123,33,44,42,m2,Walk
19124,31,44,42,m2,Walk
19125,31,44,41,m2,Walk
19126,30,40,41,m2,Walk
19127,30,40,43,m2,Walk
19128,26,43,45,m2,Walk
19129,25,41,45,m2,Walk
19130,21,42,46,m2,Walk
19131,18,41,47,m2,Walk
19132,16,37,48,m2,Walk
19133,16,34,47,m2,Walk
19134,11,36,47,m2,Walk
19135,10,37,47,m2,Walk
19136,11,40,43,m2,Walk
19137,7,42,44,m2,Walk
19138,7,42,46,m2,Walk
19139,9,44,47,m2,Walk
19140,14,44,46,m2,Walk
19141,16,42,45,m2,Walk
19142,13,41,44,m2,Walk
19143,13,40,44,m2,Walk
19144,16,40,45,m2,Walk
19145,17,40,44,m2,Walk
19146,19,40,44,m2,Walk
19147,20,39,46,m2,Walk
19148,19,39,46,m2,Walk
19149,20,39,45,m2,Walk
19150,19,38,46,m2,Walk
19151,19,36,46,m2,Walk
19152,17,37,46,m2,Walk
19153,15,35,44,m2,Walk
19154,13,34,44,m2,Walk
19155,9,34,44,m2,Walk
19156,9,37,46,m2,Walk
19157,14,38,45,m2,Walk
19158,17,36,40,m2,Walk
19159,16,35,40,m2,Walk
19160,15,35,41,m2,Walk
19161,15,38,42,m2,Walk
19162,18,40,42,m2,Walk
19163,19,40,42,m2,Walk
19164,20,40,44,m2,Walk
19165,20,41,45,m2,Walk
19166,20,41,47,m2,Walk
19167,22,40,47,m2,Walk
19168,21,40,47,m2,Walk
19169,19,40,47,m2,Walk
19170,20,38,48,m2,Walk
19171,18,40,47,m2,Walk
19172,17,39,48,m2,Walk
19173,15,39,46,m2,Walk
19174,12,38,47,m2,Walk
19175,12,39,49,m2,Walk
19176,15,39,47,m2,Walk
19177,13,37,45,m2,Walk
19178,14,36,44,m2,Walk
19179,16,35,45,m2,Walk
19180,17,38,44,m2,Walk
19181,22,38,44,m2,Walk
19182,22,36,42,m2,Walk
19183,22,36,41,m2,Walk
19184,21,36,41,m2,Walk
19185,21,35,42,m2,Walk
19186,21,34,43,m2,Walk
19187,20,34,42,m2,Walk
19188,19,35,43,m2,Walk
19189,17,34,44,m2,Walk
19190,14,34,44,m2,Walk
19191,12,37,44,m2,Walk
19192,8,38,45,m2,Walk
19193,6,40,47,m2,Walk
19194,11,44,47,m2,Walk
19195,12,43,43,m2,Walk
19196,12,42,42,m2,Walk
19197,14,40,43,m2,Walk
19198,14,40,42,m2,Walk
19199,18,40,41,m2,Walk
