,x axis,y axis,z axis,tester,activity
374162,33,43,50,m9,Drink_glass
374163,34,43,50,m9,Drink_glass
374164,33,42,51,m9,Drink_glass
374165,34,44,50,m9,Drink_glass
374166,34,42,50,m9,Drink_glass
374167,33,43,50,m9,Drink_glass
374168,34,43,49,m9,Drink_glass
374169,32,43,50,m9,Drink_glass
374170,32,42,50,m9,Drink_glass
374171,34,42,51,m9,Drink_glass
374172,33,42,50,m9,Drink_glass
374173,34,43,50,m9,Drink_glass
374174,34,43,51,m9,Drink_glass
374175,32,43,50,m9,Drink_glass
374176,33,43,50,m9,Drink_glass
374177,32,43,50,m9,Drink_glass
374178,35,42,51,m9,Drink_glass
374179,33,42,50,m9,Drink_glass
374180,34,42,50,m9,Drink_glass
374181,33,43,50,m9,Drink_glass
374182,34,44,50,m9,Drink_glass
374183,33,43,51,m9,Drink_glass
374184,34,43,50,m9,Drink_glass
374185,33,42,50,m9,Drink_glass
374186,33,43,50,m9,Drink_glass
374187,33,42,51,m9,Drink_glass
374188,32,42,50,m9,Drink_glass
374189,34,44,50,m9,Drink_glass
374190,33,42,50,m9,Drink_glass
374191,33,43,50,m9,Drink_glass
374192,34,44,51,m9,Drink_glass
374193,34,42,50,m9,Drink_glass
374194,33,43,50,m9,Drink_glass
374195,34,43,50,m9,Drink_glass
374196,33,42,51,m9,Drink_glass
374197,34,43,50,m9,Drink_glass
374198,33,43,50,m9,Drink_glass
374199,34,42,50,m9,Drink_glass
374200,34,41,50,m9,Drink_glass
374201,33,42,50,m9,Drink_glass
374202,34,43,49,m9,Drink_glass
374203,33,42,50,m9,Drink_glass
374204,33,42,51,m9,Drink_glass
374205,31,43,50,m9,Drink_glass
374206,33,42,50,m9,Drink_glass
374207,33,42,51,m9,Drink_glass
374208,34,43,51,m9,Drink_glass
374209,33,44,52,m9,Drink_glass
374210,32,43,50,m9,Drink_glass
374211,35,41,51,m9,Drink_glass
374212,34,42,52,m9,Drink_glass
374213,36,40,50,m9,Drink_glass
374214,36,42,52,m9,Drink_glass
374215,35,41,51,m9,Drink_glass
374216,34,39,50,m9,Drink_glass
374217,35,41,51,m9,Drink_glass
374218,34,39,51,m9,Drink_glass
